"",BBK01.OEBM07H,BBK01.OEBM07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:56,
2002-01,0.026,
2002-04,0.026,
2002-07,0.016,
2002-10,0.020,
2003-01,0.025,
2003-04,0.016,
2003-07,0.131,
2003-10,0.126,
2004-01,0.223,
2004-04,0.276,
2004-07,0.358,
2004-10,0.524,
2005-01,0.401,
2005-04,0.507,
2005-07,0.809,
2005-10,0.253,
2006-01,0.188,
2006-04,0.254,
2006-07,0.316,
2006-10,0.170,
2007-01,0.275,
2007-04,0.126,
2007-07,0.019,
2007-10,0.018,
2008-01,0.016,
2008-04,0.009,
2008-07,0.008,
2008-10,0.015,
2009-01,0.023,
2009-04,0.036,
2009-07,0.085,
2009-10,0.116,
2010-01,0.124,
2010-04,0.160,
2010-07,0.177,
2010-10,0.159,
2011-01,0.173,
2011-04,0.101,
2011-07,0.055,
2011-10,0.037,
2012-01,0.047,
2012-04,0.056,
2012-07,0.139,
2012-10,0.143,
2013-01,0.158,
2013-04,0.169,
2013-07,0.173,
2013-10,0.171,
2014-01,0.158,
2014-04,0.155,
2014-07,0.144,
