"",BBK01.OEBM05N,BBK01.OEBM05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:46,
2002-01,0.453,
2002-04,0.457,
2002-07,0.431,
2002-10,0.456,
2003-01,0.430,
2003-04,0.422,
2003-07,0.422,
2003-10,0.430,
2004-01,0.460,
2004-04,0.435,
2004-07,0.075,
2004-10,0.058,
2005-01,0.059,
2005-04,0.062,
2005-07,0.062,
2005-10,0.063,
2006-01,0.066,
2006-04,0.091,
2006-07,0.072,
2006-10,0.067,
2007-01,0.079,
2007-04,0.068,
2007-07,0.077,
2007-10,0.087,
2008-01,0.117,
2008-04,0.355,
2008-07,0.377,
2008-10,0.429,
2009-01,0.519,
2009-04,0.461,
2009-07,0.323,
2009-10,0.335,
2010-01,0.324,
2010-04,0.369,
2010-07,0.631,
2010-10,0.682,
2011-01,0.725,
2011-04,0.765,
2011-07,0.621,
2011-10,0.642,
2012-01,0.747,
2012-04,0.776,
2012-07,0.880,
2012-10,2.060,
2013-01,1.833,
2013-04,1.611,
2013-07,1.462,
2013-10,1.380,
2014-01,1.256,
2014-04,1.227,
2014-07,0.578,
