"",BBK01.OEYO01O,BBK01.OEYO01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:40,
2002-01,0.012,
2002-04,0.012,
2002-07,0.012,
2002-10,0.011,
2003-01,0.009,
2003-04,0.009,
2003-07,0.009,
2003-10,0.008,
2004-01,0.009,
2004-04,0.008,
2004-07,0.008,
2004-10,0.008,
2005-01,0.008,
2005-04,0.007,
2005-07,0.007,
2005-10,0.007,
2006-01,0.007,
2006-04,0.006,
2006-07,0.006,
2006-10,0.006,
2007-01,0.006,
2007-04,0.005,
2007-07,0.005,
2007-10,0.005,
2008-01,0.005,
2008-04,0.005,
2008-07,0.005,
2008-10,0.005,
2009-01,0.003,
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,-,Nothing exists
2010-01,0.014,
2010-04,0.015,
2010-07,0.019,
2010-10,0.018,
2011-01,0.018,
2011-04,0.029,
2011-07,0.052,
2011-10,0.043,
2012-01,0.049,
2012-04,0.086,
2012-07,0.102,
2012-10,0.103,
2013-01,0.090,
2013-04,0.129,
2013-07,0.178,
2013-10,0.215,
2014-01,0.169,
2014-04,0.175,
2014-07,0.183,
