"",BBFN1.M.DE.N.1.L.NO.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NO.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Norway,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:16:57,
1982-09,0.045,
1982-10,0.045,
1982-11,0.044,
1982-12,0.043,
1983-01,0.042,
1983-02,0.042,
1983-03,0.042,
1983-04,0.048,
1983-05,0.078,
1983-06,0.080,
1983-07,0.080,
1983-08,0.080,
1983-09,0.081,
1983-10,0.081,
1983-11,0.081,
1983-12,0.081,
1984-01,0.081,
1984-02,0.081,
1984-03,0.086,
1984-04,0.086,
1984-05,0.086,
1984-06,0.086,
1984-07,0.089,
1984-08,0.089,
1984-09,0.088,
1984-10,0.088,
1984-11,0.093,
1984-12,0.098,
1985-01,0.101,
1985-02,0.103,
1985-03,0.119,
1985-04,0.114,
1985-05,0.114,
1985-06,0.108,
1985-07,0.120,
1985-08,0.140,
1985-09,0.140,
1985-10,0.148,
1985-11,0.161,
1985-12,0.164,
1986-01,0.164,
1986-02,0.164,
1986-03,0.164,
1986-04,0.163,
1986-05,0.163,
1986-06,0.157,
1986-07,0.159,
1986-08,0.159,
1986-09,0.156,
1986-10,0.156,
1986-11,0.156,
1986-12,0.156,
1987-01,0.138,
1987-02,0.123,
1987-03,0.122,
1987-04,0.108,
1987-05,0.108,
1987-06,0.113,
1987-07,0.106,
1987-08,0.105,
1987-09,0.105,
1987-10,0.085,
1987-11,0.079,
1987-12,0.075,
1988-01,0.083,
1988-02,0.086,
1988-03,0.105,
1988-04,0.105,
1988-05,0.113,
1988-06,0.113,
1988-07,0.115,
1988-08,0.115,
1988-09,0.107,
1988-10,0.115,
1988-11,0.110,
1988-12,0.112,
1989-01,0.112,
1989-02,0.111,
1989-03,0.116,
1989-04,0.115,
1989-05,0.115,
1989-06,0.115,
1989-07,0.116,
1989-08,0.116,
1989-09,0.124,
1989-10,0.123,
1989-11,0.123,
1989-12,0.125,
1990-01,0.126,
1990-02,0.129,
1990-03,0.129,
1990-04,0.130,
1990-05,0.130,
1990-06,0.130,
1990-07,0.130,
1990-08,0.132,
1990-09,0.134,
1990-10,0.130,
1990-11,0.118,
1990-12,0.094,
1991-01,0.104,
1991-02,0.100,
1991-03,0.100,
