"",BBK01.OEHB21P,BBK01.OEHB21P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:41,
2002-01,1.050,
2002-04,1.053,
2002-07,1.016,
2002-10,0.954,
2003-01,1.002,
2003-04,1.091,
2003-07,0.914,
2003-10,0.894,
2004-01,0.957,
2004-04,0.947,
2004-07,0.967,
2004-10,1.015,
2005-01,1.050,
2005-04,1.108,
2005-07,1.243,
2005-10,1.222,
2006-01,1.251,
2006-04,1.264,
2006-07,1.080,
2006-10,1.249,
2007-01,1.130,
2007-04,1.116,
2007-07,1.171,
2007-10,1.166,
2008-01,1.230,
2008-04,1.316,
2008-07,1.212,
2008-10,1.245,
2009-01,1.315,
2009-04,1.284,
2009-07,1.300,
2009-10,1.545,
2010-01,1.622,
2010-04,1.763,
2010-07,1.732,
2010-10,1.836,
2011-01,1.920,
2011-04,1.980,
2011-07,2.152,
2011-10,2.098,
2012-01,2.203,
2012-04,2.120,
2012-07,2.088,
2012-10,2.096,
2013-01,2.156,
2013-04,2.183,
2013-07,2.269,
2013-10,2.184,
2014-01,2.255,
2014-04,2.274,
2014-07,2.258,
