"",BBK01.OEXB05P,BBK01.OEXB05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:23,
2002-01,1.164,
2002-04,1.195,
2002-07,1.222,
2002-10,1.245,
2003-01,1.270,
2003-04,1.296,
2003-07,1.172,
2003-10,1.053,
2004-01,1.064,
2004-04,1.065,
2004-07,1.075,
2004-10,1.064,
2005-01,1.077,
2005-04,1.095,
2005-07,1.132,
2005-10,1.154,
2006-01,1.181,
2006-04,1.197,
2006-07,1.213,
2006-10,1.247,
2007-01,1.274,
2007-04,1.237,
2007-07,1.300,
2007-10,1.413,
2008-01,1.433,
2008-04,2.261,
2008-07,2.274,
2008-10,2.268,
2009-01,2.252,
2009-04,2.246,
2009-07,2.233,
2009-10,2.228,
2010-01,2.223,
2010-04,2.225,
2010-07,2.234,
2010-10,2.231,
2011-01,2.226,
2011-04,2.242,
2011-07,2.265,
2011-10,2.273,
2012-01,2.287,
2012-04,2.306,
2012-07,2.325,
2012-10,2.323,
2013-01,2.372,
2013-04,2.357,
2013-07,2.348,
2013-10,2.331,
2014-01,2.297,
2014-04,2.288,
2014-07,2.274,
