"",BBK01.OEAC19T,BBK01.OEAC19T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:43,
2002-01,0.249,
2002-04,0.247,
2002-07,0.236,
2002-10,0.207,
2003-01,0.211,
2003-04,0.206,
2003-07,0.194,
2003-10,0.178,
2004-01,0.175,
2004-04,0.170,
2004-07,0.161,
2004-10,0.143,
2005-01,0.156,
2005-04,0.148,
2005-07,0.139,
2005-10,0.121,
2006-01,0.138,
2006-04,0.137,
2006-07,0.123,
2006-10,0.101,
2007-01,0.118,
2007-04,0.112,
2007-07,0.104,
2007-10,0.085,
2008-01,0.106,
2008-04,0.104,
2008-07,0.100,
2008-10,0.081,
2009-01,0.097,
2009-04,0.093,
2009-07,0.091,
2009-10,0.074,
2010-01,0.096,
2010-04,0.102,
2010-07,0.094,
2010-10,0.086,
2011-01,0.090,
2011-04,0.102,
2011-07,0.088,
2011-10,0.072,
2012-01,0.088,
2012-04,0.089,
2012-07,0.090,
2012-10,0.080,
2013-01,0.102,
2013-04,0.108,
2013-07,0.104,
2013-10,0.082,
2014-01,0.097,
2014-04,0.097,
2014-07,0.096,
