"",BBK01.OEXK01V,BBK01.OEXK01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:02,
2002-01,0.450,
2002-04,0.439,
2002-07,0.455,
2002-10,0.482,
2003-01,0.499,
2003-04,0.486,
2003-07,0.505,
2003-10,0.523,
2004-01,0.475,
2004-04,0.434,
2004-07,0.433,
2004-10,0.469,
2005-01,0.456,
2005-04,0.468,
2005-07,0.369,
2005-10,0.391,
2006-01,0.460,
2006-04,0.438,
2006-07,0.451,
2006-10,0.461,
2007-01,0.473,
2007-04,0.469,
2007-07,0.473,
2007-10,0.495,
2008-01,0.491,
2008-04,0.494,
2008-07,0.501,
2008-10,0.455,
2009-01,0.445,
2009-04,0.442,
2009-07,0.458,
2009-10,0.462,
2010-01,0.460,
2010-04,0.515,
2010-07,0.559,
2010-10,0.595,
2011-01,0.588,
2011-04,0.587,
2011-07,0.621,
2011-10,0.638,
2012-01,0.618,
2012-04,0.650,
2012-07,0.692,
2012-10,0.714,
2013-01,0.693,
2013-04,0.720,
2013-07,0.740,
2013-10,0.748,
2014-01,0.762,
2014-04,0.760,
2014-07,0.794,
