"",BBFB1.Q.N.DE.US.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:43,
1991-01,445.456,
1991-04,855.304,
1991-07,-104.705,
1991-10,54.047,
1992-01,-71.073,
1992-04,143.623,
1992-07,44.194,
1992-10,838.651,
1993-01,105.277,
1993-04,-10.880,
1993-07,196.677,
1993-10,730.765,
1994-01,34.997,
1994-04,132.271,
1994-07,414.863,
1994-10,-14.545,
1995-01,1.085,
1995-04,893.180,
1995-07,1082.280,
1995-10,856.267,
1996-01,247.490,
1996-04,77.371,
1996-07,-258.052,
1996-10,363.413,
1997-01,676.867,
1997-04,786.831,
1997-07,634.865,
1997-10,1740.261,
1998-01,-217.164,
1998-04,1862.474,
1998-07,2252.593,
1998-10,1985.406,
1999-01,867.917,
1999-04,2171.709,
1999-07,2921.668,
1999-10,2630.249,
2000-01,2573.073,
2000-04,3679.603,
2000-07,3002.555,
2000-10,5389.663,
2001-01,788.537,
2001-04,2320.674,
2001-07,1146.371,
2001-10,1572.781,
2002-01,609.561,
2002-04,567.497,
2002-07,1003.056,
2002-10,3648.882,
2003-01,5579.231,
2003-04,3620.833,
2003-07,880.804,
2003-10,999.877,
2004-01,-97.393,
2004-04,-26.689,
2004-07,-1585.515,
2004-10,-685.952,
2005-01,968.149,
2005-04,13.072,
2005-07,2644.890,
2005-10,146.257,
2006-01,5400.666,
2006-04,-38.970,
2006-07,348.338,
2006-10,-3427.730,
2007-01,-1278.054,
2007-04,1483.925,
2007-07,3725.754,
2007-10,971.606,
2008-01,6232.382,
2008-04,3358.280,
2008-07,10971.683,
2008-10,6409.191,
2009-01,2801.808,
2009-04,1033.609,
2009-07,-3407.358,
2009-10,-11854.666,
2010-01,914.014,
2010-04,1104.570,
2010-07,-6661.070,
2010-10,4704.370,
2011-01,-2014.377,
2011-04,-688.482,
2011-07,-2226.829,
2011-10,3434.373,
2012-01,-2700.485,
2012-04,-3667.555,
2012-07,-2644.978,
2012-10,-4788.729,
2013-01,-1518.254,
2013-04,-2551.780,
2013-07,-2296.751,
2013-10,-1122.768,
2014-01,-341.836,Provisional value
2014-04,-2549.158,Provisional value
2014-07,-975.039,Provisional value
2014-10,-1373.338,Provisional value
