"",BBK01.OEAN04H,BBK01.OEAN04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:49,
2002-01,53.132,
2002-04,52.697,
2002-07,53.003,
2002-10,55.369,
2003-01,56.472,
2003-04,57.068,
2003-07,65.280,
2003-10,67.884,
2004-01,69.405,
2004-04,70.025,
2004-07,71.058,
2004-10,72.572,
2005-01,78.400,
2005-04,78.535,
2005-07,77.960,
2005-10,79.313,
2006-01,78.416,
2006-04,77.257,
2006-07,74.692,
2006-10,73.371,
2007-01,70.559,
2007-04,70.198,
2007-07,68.748,
2007-10,68.499,
2008-01,67.005,
2008-04,66.534,
2008-07,64.990,
2008-10,66.134,
2009-01,68.702,
2009-04,69.967,
2009-07,71.294,
2009-10,73.850,
2010-01,76.370,
2010-04,78.657,
2010-07,80.785,
2010-10,83.577,
2011-01,84.365,
2011-04,83.364,
2011-07,82.776,
2011-10,83.865,
2012-01,84.847,
2012-04,84.902,
2012-07,85.111,
2012-10,87.003,
2013-01,86.839,
2013-04,86.339,
2013-07,85.445,
2013-10,85.658,
2014-01,84.164,
2014-04,82.906,
2014-07,82.248,
