"",BBFB1.M.Y.DE.W1.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Services: Travel / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:13,
1991-01,2.89,
1991-02,2.89,
1991-03,2.87,
1991-04,2.85,
1991-05,2.86,
1991-06,2.78,
1991-07,2.84,
1991-08,2.85,
1991-09,2.80,
1991-10,2.87,
1991-11,2.89,
1991-12,3.03,
1992-01,3.10,
1992-02,3.11,
1992-03,3.07,
1992-04,3.08,
1992-05,3.07,
1992-06,3.08,
1992-07,3.10,
1992-08,3.07,
1992-09,3.22,
1992-10,3.10,
1992-11,3.12,
1992-12,3.23,
1993-01,3.21,
1993-02,3.26,
1993-03,3.29,
1993-04,3.23,
1993-05,3.14,
1993-06,3.34,
1993-07,3.23,
1993-08,3.23,
1993-09,3.26,
1993-10,3.24,
1993-11,3.27,
1993-12,3.38,
1994-01,3.45,
1994-02,3.52,
1994-03,3.69,
1994-04,3.51,
1994-05,3.48,
1994-06,3.74,
1994-07,3.54,
1994-08,3.55,
1994-09,3.66,
1994-10,3.51,
1994-11,3.55,
1994-12,3.81,
1995-01,3.44,
1995-02,3.52,
1995-03,3.80,
1995-04,3.47,
1995-05,3.57,
1995-06,3.88,
1995-07,3.61,
1995-08,3.63,
1995-09,3.84,
1995-10,3.61,
1995-11,3.68,
1995-12,3.94,
1996-01,3.52,
1996-02,3.65,
1996-03,3.86,
1996-04,3.65,
1996-05,3.67,
1996-06,4.05,
1996-07,3.74,
1996-08,3.73,
1996-09,3.94,
1996-10,3.70,
1996-11,3.71,
1996-12,4.15,
1997-01,4.03,
1997-02,4.00,
1997-03,3.71,
1997-04,4.13,
1997-05,4.14,
1997-06,3.81,
1997-07,4.11,
1997-08,4.11,
1997-09,3.75,
1997-10,4.17,
1997-11,4.20,
1997-12,3.60,
1998-01,4.10,
1998-02,4.07,
1998-03,3.90,
1998-04,4.15,
1998-05,4.18,
1998-06,3.94,
1998-07,4.17,
1998-08,4.15,
1998-09,3.96,
1998-10,4.23,
1998-11,4.25,
1998-12,3.76,
1999-01,4.22,
1999-02,4.24,
1999-03,4.20,
1999-04,4.44,
1999-05,4.38,
1999-06,4.42,
1999-07,4.42,
1999-08,4.44,
1999-09,4.29,
1999-10,4.58,
1999-11,4.77,
1999-12,4.08,
2000-01,4.51,
2000-02,4.56,
2000-03,4.66,
2000-04,4.78,
2000-05,4.87,
2000-06,4.92,
2000-07,4.75,
2000-08,4.83,
2000-09,4.76,
2000-10,4.97,
2000-11,5.10,
2000-12,4.61,
2001-01,4.92,
2001-02,4.71,
2001-03,4.82,
2001-04,4.98,
2001-05,4.66,
2001-06,4.86,
2001-07,4.93,
2001-08,5.06,
2001-09,4.84,
2001-10,4.86,
2001-11,4.87,
2001-12,4.10,
2002-01,4.14,
2002-02,4.40,
2002-03,5.63,
2002-04,4.43,
2002-05,5.20,
2002-06,4.36,
2002-07,4.70,
2002-08,4.81,
2002-09,4.52,
2002-10,4.28,
2002-11,4.43,
2002-12,5.15,
2003-01,5.29,
2003-02,5.24,
2003-03,4.97,
2003-04,5.15,
2003-05,4.52,
2003-06,4.49,
2003-07,4.47,
2003-08,4.84,
2003-09,4.81,
2003-10,4.70,
2003-11,4.66,
2003-12,5.18,
2004-01,4.86,
2004-02,5.82,
2004-03,4.70,
2004-04,4.84,
2004-05,4.94,
2004-06,5.08,
2004-07,4.20,
2004-08,4.89,
2004-09,4.62,
2004-10,4.50,
2004-11,5.20,
2004-12,4.60,
2005-01,5.01,
2005-02,5.06,
2005-03,5.24,
2005-04,5.09,
2005-05,5.04,
2005-06,4.84,
2005-07,4.76,
2005-08,4.90,
2005-09,5.01,
2005-10,5.07,
2005-11,4.91,
2005-12,5.20,
2006-01,5.17,
2006-02,5.04,
2006-03,5.27,
2006-04,5.13,
2006-05,5.05,
2006-06,4.70,
2006-07,4.91,
2006-08,4.20,
2006-09,5.40,
2006-10,4.68,
2006-11,4.83,
2006-12,4.97,
2007-01,4.52,
2007-02,4.90,
2007-03,5.41,
2007-04,4.89,
2007-05,4.91,
2007-06,5.01,
2007-07,5.17,
2007-08,5.17,
2007-09,4.98,
2007-10,4.89,
2007-11,5.23,
2007-12,5.47,
2008-01,4.84,
2008-02,5.28,
2008-03,5.20,
2008-04,5.57,
2008-05,5.75,
2008-06,4.99,
2008-07,5.32,
2008-08,4.91,
2008-09,5.30,
2008-10,5.23,
2008-11,4.75,
2008-12,4.49,
2009-01,5.33,
2009-02,5.06,
2009-03,4.30,
2009-04,4.73,
2009-05,4.93,
2009-06,4.93,
2009-07,5.33,
2009-08,4.55,
2009-09,4.61,
2009-10,5.11,
