"",BBK01.OECL04J,BBK01.OECL04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:39,
2002-01,0.185,
2002-04,0.162,
2002-07,0.153,
2002-10,0.147,
2003-01,0.113,
2003-04,0.097,
2003-07,0.073,
2003-10,0.069,
2004-01,0.062,
2004-04,0.048,
2004-07,0.046,
2004-10,0.052,
2005-01,0.066,
2005-04,0.066,
2005-07,0.064,
2005-10,0.066,
2006-01,0.083,
2006-04,0.082,
2006-07,0.097,
2006-10,0.116,
2007-01,0.126,
2007-04,0.145,
2007-07,0.187,
2007-10,0.254,
2008-01,0.278,
2008-04,0.291,
2008-07,0.365,
2008-10,0.353,
2009-01,0.266,
2009-04,0.240,
2009-07,0.160,
2009-10,0.134,
2010-01,0.079,
2010-04,0.056,
2010-07,0.040,
2010-10,0.035,
2011-01,0.045,
2011-04,0.054,
2011-07,0.049,
2011-10,0.053,
2012-01,0.055,
2012-04,0.049,
2012-07,0.049,
2012-10,0.027,
2013-01,0.026,
2013-04,0.026,
2013-07,0.029,
2013-10,0.030,
2014-01,0.030,
2014-04,0.032,
2014-07,0.022,
