"",BBK01.OELO03V,BBK01.OELO03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:22,
2002-01,0.434,
2002-04,0.383,
2002-07,0.339,
2002-10,0.354,
2003-01,0.384,
2003-04,0.336,
2003-07,0.345,
2003-10,0.350,
2004-01,0.437,
2004-04,0.273,
2004-07,0.281,
2004-10,0.290,
2005-01,0.345,
2005-04,0.317,
2005-07,0.318,
2005-10,0.306,
2006-01,0.331,
2006-04,0.305,
2006-07,0.291,
2006-10,0.369,
2007-01,0.451,
2007-04,0.359,
2007-07,0.303,
2007-10,0.325,
2008-01,0.421,
2008-04,0.356,
2008-07,0.388,
2008-10,0.380,
2009-01,0.447,
2009-04,0.341,
2009-07,0.316,
2009-10,0.330,
2010-01,0.337,
2010-04,0.297,
2010-07,0.243,
2010-10,0.245,
2011-01,0.252,
2011-04,0.283,
2011-07,0.247,
2011-10,0.254,
2012-01,0.233,
2012-04,0.222,
2012-07,0.232,
2012-10,0.247,
2013-01,0.302,
2013-04,0.223,
2013-07,0.228,
2013-10,0.273,
2014-01,0.271,
2014-04,0.321,
2014-07,0.254,
