"",BBK01.OEAA52L,BBK01.OEAA52L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:36,
2002-01,0.167,
2002-04,0.121,
2002-07,0.123,
2002-10,0.166,
2003-01,0.113,
2003-04,0.143,
2003-07,0.139,
2003-10,0.092,
2004-01,0.074,
2004-04,0.087,
2004-07,0.075,
2004-10,0.065,
2005-01,0.065,
2005-04,0.052,
2005-07,0.055,
2005-10,0.060,
2006-01,0.045,
2006-04,0.064,
2006-07,0.078,
2006-10,0.084,
2007-01,0.077,
2007-04,0.084,
2007-07,0.104,
2007-10,0.081,
2008-01,0.062,
2008-04,0.068,
2008-07,0.066,
2008-10,0.056,
2009-01,0.046,
2009-04,0.039,
2009-07,0.053,
2009-10,0.042,
2010-01,0.022,
2010-04,0.027,
2010-07,0.024,
2010-10,0.019,
2011-01,0.015,
2011-04,0.024,
2011-07,0.033,
2011-10,0.031,
2012-01,0.030,
2012-04,0.012,
2012-07,0.003,
2012-10,0.002,
2013-01,-,Nothing exists
2013-04,0.007,
2013-07,0.008,
2013-10,0.019,
2014-01,0.026,
2014-04,0.042,
2014-07,0.052,
