"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.P.F51._Z._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.P.F51._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Shares / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:43,
1991-01,-91.461,
1991-04,604.803,
1991-07,729.783,
1991-10,-180.382,
1992-01,465.574,
1992-04,544.221,
1992-07,-272.885,
1992-10,28.961,
1993-01,1263.454,
1993-04,264.083,
1993-07,636.136,
1993-10,2043.024,
1994-01,4173.863,
1994-04,1951.626,
1994-07,467.410,
1994-10,-464.125,
1995-01,-311.693,
1995-04,2.406,
1995-07,-726.859,
1995-10,153.109,
1996-01,4748.460,
1996-04,624.244,
1996-07,402.324,
1996-10,5458.070,
1997-01,12659.734,
1997-04,9562.699,
1997-07,5161.351,
1997-10,6612.797,
1998-01,23184.332,
1998-04,16006.148,
1998-07,11803.030,
1998-10,10891.840,
1999-01,19603.309,
1999-04,6755.743,
1999-07,17130.414,
1999-10,24542.654,
2000-01,45983.764,
2000-04,18419.489,
2000-07,29301.294,
2000-10,8574.600,
2001-01,5375.213,
2001-04,12514.240,
2001-07,-8169.271,
2001-10,952.742,
2002-01,6473.619,
2002-04,-205.982,
2002-07,-6648.327,
2002-10,5140.978,
2003-01,-16428.807,
2003-04,1157.300,
2003-07,1329.298,
2003-10,5697.024,
2004-01,-1794.050,
2004-04,-988.115,
2004-07,-5609.814,
2004-10,-679.888,
2005-01,-587.451,
2005-04,-1931.351,
2005-07,3765.045,
2005-10,18718.547,
2006-01,982.338,
2006-04,-11945.531,
2006-07,4461.386,
2006-10,2106.757,
2007-01,-13085.576,
2007-04,2984.715,
2007-07,-5711.312,
2007-10,-6057.012,
2008-01,-12004.919,
2008-04,-12789.428,
2008-07,-959.765,
2008-10,-14308.230,
2009-01,-165.341,
2009-04,1571.155,
2009-07,69.027,
2009-10,913.915,
2010-01,-3401.563,
2010-04,4195.150,
2010-07,-2184.656,
2010-10,2710.523,
2011-01,-5568.794,
2011-04,9031.415,
2011-07,-11906.042,
2011-10,5730.312,
2012-01,-5664.831,
2012-04,1187.044,
2012-07,2331.075,
2012-10,13882.296,
2013-01,10137.157,
2013-04,3263.047,
2013-07,8666.642,
2013-10,-2860.931,
2014-01,3443.400,
2014-04,4944.008,
2014-07,-117.854,
