"",BBK01.OEAH29J,BBK01.OEAH29J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:05,
2002-01,8.892,
2002-04,9.168,
2002-07,8.942,
2002-10,9.219,
2003-01,8.922,
2003-04,9.103,
2003-07,9.163,
2003-10,9.493,
2004-01,9.925,
2004-04,10.163,
2004-07,10.597,
2004-10,11.137,
2005-01,11.796,
2005-04,11.930,
2005-07,12.104,
2005-10,13.149,
2006-01,13.125,
2006-04,13.418,
2006-07,13.811,
2006-10,14.014,
2007-01,14.622,
2007-04,14.758,
2007-07,15.552,
2007-10,16.132,
2008-01,16.120,
2008-04,16.535,
2008-07,16.548,
2008-10,17.005,
2009-01,17.185,
2009-04,16.952,
2009-07,17.051,
2009-10,17.542,
2010-01,17.231,
2010-04,16.655,
2010-07,16.161,
2010-10,16.464,
2011-01,16.323,
2011-04,16.244,
2011-07,16.622,
2011-10,16.476,
2012-01,16.454,
2012-04,16.011,
2012-07,16.153,
2012-10,16.216,
2013-01,16.095,
2013-04,14.365,
2013-07,13.435,
2013-10,13.464,
2014-01,11.724,
2014-04,11.400,
2014-07,11.625,
