"",BBK01.OEXI06R,BBK01.OEXI06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:04,
2002-01,0.025,
2002-04,0.025,
2002-07,0.023,
2002-10,0.023,
2003-01,0.024,
2003-04,0.022,
2003-07,0.020,
2003-10,0.022,
2004-01,0.027,
2004-04,0.026,
2004-07,0.027,
2004-10,0.022,
2005-01,0.029,
2005-04,0.029,
2005-07,0.030,
2005-10,0.028,
2006-01,0.030,
2006-04,0.030,
2006-07,0.039,
2006-10,0.040,
2007-01,0.043,
2007-04,0.047,
2007-07,0.047,
2007-10,0.057,
2008-01,0.068,
2008-04,0.077,
2008-07,0.082,
2008-10,0.090,
2009-01,0.100,
2009-04,0.088,
2009-07,0.079,
2009-10,0.072,
2010-01,0.071,
2010-04,0.087,
2010-07,0.093,
2010-10,0.098,
2011-01,0.109,
2011-04,0.124,
2011-07,0.128,
2011-10,0.170,
2012-01,0.164,
2012-04,0.167,
2012-07,0.166,
2012-10,0.158,
2013-01,0.141,
2013-04,0.137,
2013-07,0.149,
2013-10,0.167,
2014-01,0.185,
2014-04,0.192,
2014-07,0.408,
