"",BBSF2.M.1.S.00000.AKT01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.S.00000.AKT01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Special investors funds / Equity funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:19,
2009-09,36985,
2009-10,36068,
2009-11,35332,
2009-12,36283,
2010-01,34915,
2010-02,34593,
2010-03,36178,
2010-04,35914,
2010-05,35214,
2010-06,35093,
2010-07,36012,
2010-08,35646,
2010-09,34950,
2010-10,35758,
2010-11,34843,
2010-12,35290,
2011-01,34656,
2011-02,35554,
2011-03,35265,
2011-04,35922,
2011-05,35673,
2011-06,35479,
2011-07,35266,
2011-08,33537,
2011-09,32935,
2011-10,33100,
2011-11,32600,
2011-12,32894,
2012-01,34188,
2012-02,34282,
2012-03,34149,
2012-04,30995,
2012-05,30908,
2012-06,30945,
2012-07,31894,
2012-08,32166,
2012-09,32658,
2012-10,32891,
2012-11,33629,
2012-12,35554,
2013-01,35960,
2013-02,36022,
2013-03,37353,
2013-04,38026,
2013-05,37661,
2013-06,36448,
2013-07,37054,
2013-08,37133,
2013-09,37924,
2013-10,38819,
2013-11,39095,
2013-12,37364,
2014-01,36901,
2014-02,38007,
2014-03,38073,
2014-04,42867,
2014-05,43079,
2014-06,43116,
2014-07,42930,
2014-08,43925,
2014-09,43904,
2014-10,37047,
2014-11,39863,
