"",BBK01.OEHI02U,BBK01.OEHI02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:36,
2002-01,4.470,
2002-04,4.512,
2002-07,4.514,
2002-10,4.758,
2003-01,4.624,
2003-04,4.699,
2003-07,4.712,
2003-10,4.795,
2004-01,4.678,
2004-04,4.668,
2004-07,4.696,
2004-10,4.887,
2005-01,4.700,
2005-04,4.728,
2005-07,4.710,
2005-10,4.892,
2006-01,4.727,
2006-04,4.717,
2006-07,4.765,
2006-10,4.888,
2007-01,4.711,
2007-04,4.781,
2007-07,4.818,
2007-10,4.910,
2008-01,4.742,
2008-04,4.763,
2008-07,4.797,
2008-10,5.139,
2009-01,5.209,
2009-04,5.434,
2009-07,5.904,
2009-10,6.194,
2010-01,6.089,
2010-04,6.202,
2010-07,6.393,
2010-10,6.567,
2011-01,6.420,
2011-04,6.355,
2011-07,6.462,
2011-10,6.713,
2012-01,6.636,
2012-04,6.865,
2012-07,7.105,
2012-10,7.334,
2013-01,7.269,
2013-04,7.401,
2013-07,7.490,
2013-10,7.828,
2014-01,7.729,
2014-04,7.830,
2014-07,8.132,
