"",BBK01.OEXL03U,BBK01.OEXL03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:04,
2002-01,0.194,
2002-04,0.189,
2002-07,0.180,
2002-10,0.184,
2003-01,0.177,
2003-04,0.178,
2003-07,0.174,
2003-10,0.163,
2004-01,0.158,
2004-04,0.149,
2004-07,0.146,
2004-10,0.072,
2005-01,0.073,
2005-04,0.067,
2005-07,0.067,
2005-10,0.062,
2006-01,0.064,
2006-04,0.067,
2006-07,0.071,
2006-10,0.139,
2007-01,0.138,
2007-04,0.126,
2007-07,0.113,
2007-10,0.116,
2008-01,0.108,
2008-04,0.105,
2008-07,0.110,
2008-10,0.108,
2009-01,0.065,
2009-04,0.080,
2009-07,0.080,
2009-10,0.049,
2010-01,0.076,
2010-04,0.091,
2010-07,0.065,
2010-10,0.056,
2011-01,0.066,
2011-04,0.072,
2011-07,0.074,
2011-10,0.084,
2012-01,0.092,
2012-04,0.093,
2012-07,0.085,
2012-10,0.105,
2013-01,0.087,
2013-04,0.089,
2013-07,0.082,
2013-10,0.083,
2014-01,0.087,
2014-04,0.085,
2014-07,0.087,
