"",BBK01.OEAD04V,BBK01.OEAD04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:54,
2002-01,0.250,
2002-04,0.243,
2002-07,0.242,
2002-10,0.209,
2003-01,0.219,
2003-04,0.188,
2003-07,0.169,
2003-10,0.175,
2004-01,0.172,
2004-04,0.161,
2004-07,0.158,
2004-10,0.146,
2005-01,0.140,
2005-04,0.143,
2005-07,0.120,
2005-10,0.107,
2006-01,0.109,
2006-04,0.103,
2006-07,0.109,
2006-10,0.097,
2007-01,0.096,
2007-04,0.091,
2007-07,0.096,
2007-10,0.101,
2008-01,0.105,
2008-04,0.093,
2008-07,0.099,
2008-10,0.102,
2009-01,0.109,
2009-04,0.102,
2009-07,0.098,
2009-10,0.093,
2010-01,0.104,
2010-04,0.115,
2010-07,0.124,
2010-10,0.123,
2011-01,0.125,
2011-04,0.137,
2011-07,0.145,
2011-10,0.147,
2012-01,0.150,
2012-04,0.145,
2012-07,0.139,
2012-10,0.139,
2013-01,0.143,
2013-04,0.136,
2013-07,0.136,
2013-10,0.137,
2014-01,0.138,
2014-04,0.133,
2014-07,0.141,
