"",BBFN1.M.DE.N.1.L.CA.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CA.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:37,
1994-07,0.302,
1994-08,0.323,
1994-09,0.319,
1994-10,0.323,
1994-11,0.338,
1994-12,0.327,
1995-01,0.366,
1995-02,0.369,
1995-03,0.366,
1995-04,0.390,
1995-05,0.383,
1995-06,0.359,
1995-07,0.354,
1995-08,0.350,
1995-09,0.359,
1995-10,0.353,
1995-11,0.349,
1995-12,0.362,
1996-01,0.334,
1996-02,0.270,
1996-03,0.287,
1996-04,0.318,
1996-05,0.315,
1996-06,0.293,
1996-07,0.281,
1996-08,0.304,
1996-09,0.319,
1996-10,0.326,
1996-11,0.324,
1996-12,0.336,
1997-01,0.319,
1997-02,0.335,
1997-03,0.345,
1997-04,0.381,
1997-05,0.414,
1997-06,0.383,
1997-07,0.373,
1997-08,0.341,
1997-09,0.397,
1997-10,0.386,
1997-11,0.405,
1997-12,0.414,
1998-01,0.421,
1998-02,0.496,
1998-03,0.482,
1998-04,0.481,
1998-05,0.443,
1998-06,0.483,
1998-07,0.473,
1998-08,0.477,
1998-09,0.517,
1998-10,0.487,
1998-11,0.474,
1998-12,0.439,
1999-01,0.510,
1999-02,0.506,
1999-03,0.531,
1999-04,0.518,
1999-05,0.503,
1999-06,0.533,
1999-07,0.504,
1999-08,0.509,
1999-09,0.522,
1999-10,0.497,
1999-11,0.522,
1999-12,0.470,
2000-01,0.594,
2000-02,0.602,
2000-03,0.628,
2000-04,0.637,
2000-05,0.645,
2000-06,0.536,
2000-07,0.615,
2000-08,0.595,
2000-09,0.642,
2000-10,0.638,
2000-11,0.650,
2000-12,0.559,
2001-01,0.596,
2001-02,0.608,
2001-03,0.591,
2001-04,0.603,
2001-05,0.552,
2001-06,0.545,
2001-07,0.577,
2001-08,0.546,
2001-09,0.518,
2001-10,0.540,
2001-11,0.537,
2001-12,0.571,
2002-01,0.512,
2002-02,0.542,
2002-03,0.529,
2002-04,0.562,
2002-05,0.607,
2002-06,0.584,
2002-07,0.755,
2002-08,0.701,
2002-09,0.633,
2002-10,0.631,
2002-11,0.646,
2002-12,0.655,
2003-01,0.555,
2003-02,0.547,
2003-03,0.595,
2003-04,0.605,
2003-05,0.597,
2003-06,0.584,
2003-07,0.662,
2003-08,0.655,
2003-09,0.411,
2003-10,0.419,
2003-11,0.401,
2003-12,0.600,
2004-01,0.410,
2004-02,0.419,
2004-03,0.494,
2004-04,0.484,
2004-05,0.457,
2004-06,0.469,
2004-07,0.467,
2004-08,0.441,
2004-09,0.540,
2004-10,0.436,
2004-11,0.442,
2004-12,0.528,
2005-01,0.392,
2005-02,0.459,
2005-03,0.502,
2005-04,0.483,
2005-05,0.463,
2005-06,0.498,
2005-07,0.441,
2005-08,0.419,
2005-09,0.446,
2005-10,0.410,
2005-11,0.483,
2005-12,0.503,
2006-01,0.473,
2006-02,0.471,
2006-03,0.481,
2006-04,0.532,
2006-05,0.558,
2006-06,0.597,
2006-07,0.571,
2006-08,0.572,
2006-09,0.685,
2006-10,0.653,
2006-11,0.680,
2006-12,0.722,
2007-01,0.692,
2007-02,0.683,
2007-03,0.676,
2007-04,0.703,
2007-05,0.663,
2007-06,0.723,
2007-07,0.821,
2007-08,0.809,
2007-09,0.870,
2007-10,0.834,
2007-11,0.899,
2007-12,0.939,
2008-01,0.868,
2008-02,0.872,
2008-03,0.911,
2008-04,0.759,
2008-05,0.793,
2008-06,0.775,
2008-07,0.774,
2008-08,0.723,
2008-09,0.728,
2008-10,0.751,
2008-11,0.779,
2008-12,0.887,
2009-01,0.804,
2009-02,0.870,
2009-03,0.795,
2009-04,0.830,
2009-05,0.694,
2009-06,0.778,
2009-07,0.816,
2009-08,0.758,
2009-09,0.801,
2009-10,0.750,
2009-11,0.780,
2009-12,0.746,
2010-01,0.745,
2010-02,0.752,
2010-03,0.771,
2010-04,0.725,
2010-05,0.725,
2010-06,0.708,
2010-07,0.898,
2010-08,0.837,
2010-09,0.874,
2010-10,0.885,
2010-11,0.909,
2010-12,0.888,
2011-01,0.903,
2011-02,0.907,
2011-03,0.869,
2011-04,0.844,
2011-05,0.928,
2011-06,0.906,
2011-07,0.864,
2011-08,0.895,
2011-09,0.961,
2011-10,0.963,
2011-11,0.918,
2011-12,0.961,
2012-01,0.948,
2012-02,0.987,
2012-03,0.922,
2012-04,0.940,
2012-05,0.935,
2012-06,0.934,
2012-07,0.899,
2012-08,0.903,
2012-09,1.034,
2012-10,1.014,
2012-11,0.990,
2012-12,1.060,
2013-01,1.012,
2013-02,0.962,
2013-03,0.975,
2013-04,0.941,
2013-05,1.099,
2013-06,1.013,
2013-07,0.962,
2013-08,0.960,
2013-09,0.909,
2013-10,0.987,
2013-11,1.013,
2013-12,1.048,
2014-01,0.991,
2014-02,0.980,
2014-03,0.992,
2014-04,1.013,
2014-05,1.001,
2014-06,0.992,
2014-07,1.008,
2014-08,1.012,
2014-09,1.072,
2014-10,1.104,
2014-11,1.009,
2014-12,1.056,
