"",BBK01.OEAC04I,BBK01.OEAC04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:51,
2002-01,3.232,
2002-04,3.072,
2002-07,2.958,
2002-10,2.795,
2003-01,2.701,
2003-04,2.643,
2003-07,2.487,
2003-10,2.349,
2004-01,2.288,
2004-04,2.154,
2004-07,2.028,
2004-10,1.948,
2005-01,2.010,
2005-04,2.013,
2005-07,2.005,
2005-10,1.764,
2006-01,1.766,
2006-04,1.788,
2006-07,1.909,
2006-10,1.782,
2007-01,1.738,
2007-04,1.684,
2007-07,1.643,
2007-10,1.544,
2008-01,1.537,
2008-04,1.546,
2008-07,1.560,
2008-10,1.472,
2009-01,1.558,
2009-04,1.514,
2009-07,1.444,
2009-10,1.487,
2010-01,1.520,
2010-04,1.565,
2010-07,1.573,
2010-10,1.606,
2011-01,1.479,
2011-04,1.398,
2011-07,1.406,
2011-10,1.385,
2012-01,1.362,
2012-04,1.354,
2012-07,1.340,
2012-10,1.307,
2013-01,1.330,
2013-04,1.356,
2013-07,1.254,
2013-10,1.237,
2014-01,1.204,
2014-04,1.093,
2014-07,1.023,
