"",BBFN1.M.DE.N.1.L.DK.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:15,
1982-09,0.005,
1982-10,0.005,
1982-11,0.026,
1982-12,0.051,
1983-01,0.051,
1983-02,0.051,
1983-03,0.051,
1983-04,0.052,
1983-05,0.051,
1983-06,0.051,
1983-07,0.041,
1983-08,0.041,
1983-09,0.041,
1983-10,0.041,
1983-11,0.038,
1983-12,0.028,
1984-01,0.023,
1984-02,0.023,
1984-03,0.023,
1984-04,0.023,
1984-05,0.023,
1984-06,0.023,
1984-07,0.023,
1984-08,0.023,
1984-09,0.023,
1984-10,0.008,
1984-11,0.008,
1984-12,0.008,
1985-01,0.008,
1985-02,0.009,
1985-03,0.009,
1985-04,0.002,
1985-05,0.002,
1985-06,0.002,
1985-07,0.012,
1985-08,0.012,
1985-09,0.012,
1985-10,0.012,
1985-11,0.012,
1985-12,0.012,
1986-01,0.012,
1986-02,0.012,
1986-03,.,No value available
1986-04,0.012,
1986-05,0.012,
1986-06,.,No value available
1986-07,.,No value available
1986-08,.,No value available
1986-09,.,No value available
1986-10,.,No value available
1986-11,.,No value available
1986-12,0.013,
1987-01,0.013,
1987-02,0.013,
1987-03,0.013,
1987-04,0.013,
1987-05,.,No value available
1987-06,.,No value available
1987-07,.,No value available
1987-08,.,No value available
1987-09,0.003,
1987-10,0.003,
1987-11,0.003,
1987-12,0.003,
1988-01,.,No value available
1988-02,0.003,
1988-03,0.003,
1988-04,0.003,
1988-05,0.003,
1988-06,0.003,
1988-07,0.003,
1988-08,0.003,
1988-09,0.003,
1988-10,0.003,
1988-11,.,No value available
1988-12,.,No value available
1989-01,.,No value available
1989-02,.,No value available
1989-03,0.003,
1989-04,0.003,
1989-05,0.012,
1989-06,0.012,
1989-07,0.012,
1989-08,0.012,
1989-09,0.017,
1989-10,0.017,
1989-11,0.017,
1989-12,.,No value available
1990-01,.,No value available
1990-02,.,No value available
1990-03,0.011,
1990-04,0.011,
1990-05,0.011,
1990-06,0.011,
1990-07,0.011,
1990-08,0.011,
1990-09,0.007,
1990-10,0.008,
1990-11,0.008,
1990-12,0.008,
1991-01,0.008,
1991-02,0.009,
1991-03,0.016,
1991-04,0.016,
1991-05,0.016,
1991-06,0.016,
1991-07,0.015,
1991-08,0.016,
1991-09,0.016,
1991-10,0.016,
1991-11,0.016,
1991-12,0.015,
1992-01,0.015,
1992-02,0.016,
1992-03,0.015,
1992-04,0.016,
1992-05,0.016,
1992-06,0.016,
1992-07,0.016,
1992-08,0.034,
1992-09,0.054,
1992-10,0.054,
1992-11,0.054,
1992-12,0.047,
1993-01,0.066,
1993-02,0.066,
1993-03,0.066,
1993-04,0.067,
1993-05,0.067,
1993-06,0.072,
1993-07,0.072,
1993-08,0.066,
1993-09,0.066,
1993-10,0.092,
1993-11,0.092,
1993-12,0.092,
1994-01,0.090,
1994-02,0.090,
1994-03,0.077,
1994-04,0.082,
1994-05,0.075,
1994-06,0.092,
1994-07,0.061,
1994-08,0.039,
1994-09,0.038,
1994-10,0.038,
1994-11,0.040,
1994-12,0.038,
1995-01,0.030,
1995-02,0.030,
1995-03,0.027,
1995-04,0.028,
1995-05,0.028,
1995-06,0.026,
1995-07,0.026,
1995-08,0.026,
1995-09,0.025,
1995-10,0.024,
1995-11,0.024,
1995-12,0.022,
1996-01,0.022,
1996-02,0.009,
1996-03,0.007,
1996-04,0.007,
1996-05,0.007,
1996-06,0.007,
1996-07,0.008,
1996-08,0.008,
1996-09,0.008,
1996-10,0.008,
1996-11,0.013,
1996-12,0.012,
1997-01,0.012,
1997-02,0.012,
1997-03,0.012,
1997-04,0.012,
1997-05,0.012,
1997-06,0.012,
1997-07,0.012,
1997-08,0.012,
1997-09,0.012,
1997-10,0.012,
1997-11,0.011,
1997-12,0.011,
1998-01,0.010,
1998-02,0.010,
1998-03,0.010,
1998-04,0.010,
1998-05,.,No value available
1998-06,.,No value available
1998-07,.,No value available
1998-08,0.010,
1998-09,.,No value available
1998-10,.,No value available
1998-11,.,No value available
1998-12,0.014,
1999-01,0.018,
1999-02,0.017,
1999-03,0.017,
1999-04,0.017,
1999-05,0.017,
1999-06,0.017,
1999-07,0.017,
1999-08,0.017,
1999-09,0.016,
1999-10,0.016,
1999-11,.,No value available
1999-12,0.052,
2000-01,0.047,
2000-02,0.041,
2000-03,0.044,
2000-04,0.044,
2000-05,0.044,
2000-06,0.050,
2000-07,0.050,
2000-08,0.050,
2000-09,0.050,
2000-10,0.027,
2000-11,.,No value available
2000-12,.,No value available
2001-01,.,No value available
2001-02,0.038,
2001-03,0.039,
2001-04,0.066,
2001-05,0.061,
2001-06,0.039,
2001-07,0.039,
2001-08,0.039,
2001-09,0.038,
2001-10,0.038,
2001-11,0.037,
2001-12,0.038,
2002-01,0.048,
2002-02,0.043,
2002-03,0.048,
2002-04,0.048,
2002-05,0.048,
2002-06,0.049,
2002-07,0.048,
2002-08,0.045,
2002-09,0.055,
2002-10,0.064,
2002-11,0.063,
2002-12,0.055,
2003-01,0.055,
2003-02,0.054,
2003-03,.,No value available
2003-04,.,No value available
2003-05,.,No value available
2003-06,.,No value available
2003-07,.,No value available
2003-08,.,No value available
2003-09,.,No value available
2003-10,.,No value available
2003-11,0.051,
2003-12,0.061,
2004-01,0.061,
2004-02,.,No value available
2004-03,.,No value available
2004-04,.,No value available
2004-05,0.060,
2004-06,0.042,
2004-07,0.062,
2004-08,0.042,
2004-09,0.052,
2004-10,0.070,
2004-11,0.068,
