"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.N000.EUR.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign non-banks arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:13,
1968-12,1.005,
1969-01,1.082,
1969-02,1.032,
1969-03,1.076,
1969-04,1.229,
1969-05,1.287,
1969-06,1.364,
1969-07,1.623,
1969-08,1.504,
1969-09,2.176,
1969-10,2.296,
1969-11,1.846,
1969-12,1.246,
1970-01,1.280,
1970-02,1.187,
1970-03,1.023,
1970-04,1.066,
1970-05,1.124,
1970-06,1.238,
1970-07,1.285,
1970-08,1.597,
1970-09,1.840,
1970-10,2.148,
1970-11,2.152,
1970-12,1.827,
1971-01,1.467,
1971-02,1.578,
1971-03,1.683,
1971-04,1.610,
1971-05,2.084,
1971-06,2.206,
1971-07,2.166,
1971-08,2.016,
1971-09,2.052,
1971-10,1.971,
1971-11,1.785,
1971-12,1.507,
1972-01,1.790,
1972-02,1.925,
1972-03,1.807,
1972-04,1.697,
1972-05,1.639,
1972-06,1.576,
1972-07,1.525,
1972-08,1.783,
1972-09,1.703,
1972-10,1.621,
1972-11,1.405,
1972-12,1.202,
1973-01,1.135,
1973-02,1.044,
1973-03,0.962,
1973-04,0.935,
1973-05,0.949,
1973-06,1.001,
1973-07,1.008,
1973-08,0.988,
1973-09,1.004,
1973-10,0.957,
1973-11,0.956,
1973-12,0.947,
1974-01,0.948,
1974-02,0.973,
1974-03,1.032,
1974-04,1.070,
1974-05,1.114,
1974-06,1.055,
1974-07,1.063,
1974-08,1.052,
1974-09,1.124,
1974-10,1.150,
1974-11,1.106,
1974-12,1.281,
1975-01,1.416,
1975-02,1.341,
1975-03,1.379,
1975-04,1.432,
1975-05,1.467,
1975-06,1.496,
1975-07,1.528,
1975-08,1.590,
1975-09,1.784,
1975-10,1.486,
1975-11,1.692,
1975-12,1.603,
1976-01,1.793,
1976-02,1.972,
1976-03,1.952,
1976-04,1.934,
1976-05,1.968,
1976-06,2.365,
1976-07,2.192,
1976-08,2.374,
1976-09,2.275,
1976-10,2.279,
