"",BBSF2.M.1.S.00000.TOT01.I.F.INV.NL.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.NL.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares / Netherlands,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:17,
2009-09,32,
2009-10,32,
2009-11,31,
2009-12,381,
2010-01,383,
2010-02,389,
2010-03,395,
2010-04,390,
2010-05,400,
2010-06,402,
2010-07,398,
2010-08,407,
2010-09,396,
2010-10,402,
2010-11,411,
2010-12,407,
2011-01,397,
2011-02,395,
2011-03,364,
2011-04,376,
2011-05,383,
2011-06,391,
2011-07,386,
2011-08,386,
2011-09,399,
2011-10,395,
2011-11,401,
2011-12,399,
2012-01,406,
2012-02,409,
2012-03,417,
2012-04,412,
2012-05,431,
2012-06,425,
2012-07,428,
2012-08,428,
2012-09,435,
2012-10,437,
2012-11,441,
2012-12,444,
2013-01,441,
2013-02,450,
2013-03,445,
2013-04,450,
2013-05,448,
2013-06,441,
2013-07,434,
2013-08,437,
2013-09,436,
2013-10,438,
2013-11,263,
2013-12,265,
2014-01,266,
2014-02,271,
2014-03,277,
2014-04,282,
2014-05,285,
2014-06,284,
2014-07,296,
2014-08,296,
2014-09,299,
2014-10,303,
2014-11,303,
