"",BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:22,
1991-01,-47.461,
1991-04,-10.136,
1991-07,-17.109,
1991-10,20.155,
1992-01,2.413,
1992-04,24.951,
1992-07,26.384,
1992-10,48.516,
1993-01,8.839,
1993-04,52.388,
1993-07,32.666,
1993-10,115.476,
1994-01,46.296,
1994-04,54.802,
1994-07,112.933,
1994-10,91.120,
1995-01,99.539,
1995-04,96.492,
1995-07,99.889,
1995-10,139.657,
1996-01,255.481,
1996-04,220.717,
1996-07,488.643,
1996-10,259.189,
1997-01,252.369,
1997-04,283.102,
1997-07,431.973,
1997-10,250.494,
1998-01,612.426,
1998-04,292.878,
1998-07,573.795,
1998-10,432.665,
1999-01,981.756,
1999-04,363.829,
1999-07,565.954,
1999-10,571.718,
2000-01,334.603,
2000-04,95.679,
2000-07,250.747,
2000-10,387.076,
2001-01,121.387,
2001-04,203.256,
2001-07,511.375,
2001-10,324.594,
2002-01,-136.239,
2002-04,-186.863,
2002-07,75.756,
2002-10,342.223,
2003-01,402.499,
2003-04,186.641,
2003-07,-305.951,
2003-10,-106.560,
2004-01,441.341,
2004-04,313.604,
2004-07,142.080,
2004-10,395.714,
2005-01,735.897,
2005-04,546.743,
2005-07,388.631,
2005-10,513.777,
2006-01,851.499,
2006-04,343.090,
2006-07,1073.003,
2006-10,961.549,
2007-01,1046.317,
2007-04,1081.644,
2007-07,858.518,
2007-10,647.633,
2008-01,1107.038,
2008-04,690.197,
2008-07,253.411,
2008-10,-455.983,
2009-01,454.472,
2009-04,689.634,
2009-07,617.888,
2009-10,545.439,
2010-01,892.938,
2010-04,951.034,
2010-07,712.385,
2010-10,244.872,
2011-01,2259.149,
2011-04,440.462,
2011-07,605.146,
2011-10,116.860,
2012-01,747.840,
2012-04,949.357,
2012-07,1073.459,
2012-10,810.397,
2013-01,1025.821,
2013-04,513.975,
2013-07,399.298,
2013-10,88.822,
2014-01,922.788,Provisional value
2014-04,445.800,Provisional value
2014-07,-112.845,Provisional value
2014-10,378.998,Provisional value
