"",BBK01.OEAE19G,BBK01.OEAE19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:55,
2002-01,7.793,
2002-04,8.094,
2002-07,8.126,
2002-10,8.566,
2003-01,8.347,
2003-04,8.238,
2003-07,8.203,
2003-10,8.154,
2004-01,8.140,
2004-04,8.291,
2004-07,8.044,
2004-10,7.897,
2005-01,7.948,
2005-04,7.447,
2005-07,7.567,
2005-10,6.912,
2006-01,7.053,
2006-04,6.889,
2006-07,6.951,
2006-10,6.474,
2007-01,6.476,
2007-04,6.401,
2007-07,6.631,
2007-10,6.650,
2008-01,6.460,
2008-04,6.517,
2008-07,6.914,
2008-10,7.556,
2009-01,8.648,
2009-04,9.063,
2009-07,9.270,
2009-10,8.167,
2010-01,8.057,
2010-04,7.871,
2010-07,8.830,
2010-10,8.795,
2011-01,8.738,
2011-04,8.003,
2011-07,8.350,
2011-10,8.503,
2012-01,7.971,
2012-04,8.116,
2012-07,7.823,
2012-10,7.922,
2013-01,7.255,
2013-04,7.095,
2013-07,6.713,
2013-10,6.864,
2014-01,6.624,
2014-04,6.670,
2014-07,6.729,
