"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L.XDC._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.P.F3.L.XDC._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Long-term debt-securities / Denominated in Euro / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:49,
1991-01,-348.331,
1991-02,390.501,
1991-03,491.920,
1991-04,899.370,
1991-05,871.502,
1991-06,371.629,
1991-07,102.643,
1991-08,507.352,
1991-09,149.558,
1991-10,183.656,
1991-11,647.316,
1991-12,231.956,
1992-01,-815.017,
1992-02,1544.409,
1992-03,161.185,
1992-04,268.060,
1992-05,253.545,
1992-06,2079.640,
1992-07,106.493,
1992-08,-158.069,
1992-09,-1918.637,
1992-10,815.959,
1992-11,919.611,
1992-12,499.325,
1993-01,-638.466,
1993-02,1764.556,
1993-03,1965.573,
1993-04,1266.428,
1993-05,1075.725,
1993-06,-658.766,
1993-07,-44.962,
1993-08,-874.177,
1993-09,-28.857,
1993-10,66.163,
1993-11,331.860,
1993-12,-741.746,
1994-01,-1221.913,
1994-02,1143.302,
1994-03,1038.016,
1994-04,385.458,
1994-05,539.940,
1994-06,-166.183,
1994-07,496.328,
1994-08,119.292,
1994-09,205.437,
1994-10,-26.890,
1994-11,33.663,
1994-12,319.706,
1995-01,866.725,
1995-02,1010.541,
1995-03,-85.900,
1995-04,320.990,
1995-05,351.040,
1995-06,-320.294,
1995-07,377.790,
1995-08,64.355,
1995-09,754.107,
1995-10,-244.468,
1995-11,257.676,
1995-12,166.491,
1996-01,341.486,
1996-02,1712.469,
1996-03,-303.564,
1996-04,-66.234,
1996-05,1377.029,
1996-06,-79.197,
1996-07,66.200,
1996-08,-551.758,
1996-09,137.883,
1996-10,-185.430,
1996-11,131.087,
1996-12,618.703,
1997-01,-865.630,
1997-02,-403.306,
1997-03,1847.500,
1997-04,-184.389,
1997-05,495.844,
