"",BBK01.OXA8S1,BBK01.OXA8S1_FLAGS
"","Stocks of loans to non-banks (non-MFIs) outside the euro area (including bills of exchange), traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - of which: domestic Financial Vehicle Corporations - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:35,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,0.288,
2010-07,0.313,
2010-08,0.284,
2010-09,0.294,
2010-10,0.293,
2010-11,0.316,
2010-12,0.281,
2011-01,0.272,
2011-02,0.271,
2011-03,0.264,
2011-04,0.250,
2011-05,0.245,
2011-06,0.245,
2011-07,0.245,
2011-08,0.245,
2011-09,0.243,
2011-10,0.255,
2011-11,0.254,
2011-12,0.250,
2012-01,0.249,
2012-02,0.248,
2012-03,0.246,
2012-04,0.237,
2012-05,0.235,
2012-06,0.193,
2012-07,0.196,
2012-08,0.194,
2012-09,0.192,
2012-10,0.188,
2012-11,0.184,
2012-12,0.185,
2013-01,0.182,
2013-02,0.181,
2013-03,0.175,
2013-04,0.166,
2013-05,0.162,
2013-06,0.160,
2013-07,0.160,
2013-08,0.158,
2013-09,0.155,
2013-10,0.141,
2013-11,0.140,
2013-12,0.139,
2014-01,0.136,
2014-02,0.133,
2014-03,0.134,
2014-04,0.097,
2014-05,0.172,
2014-06,0.491,
2014-07,0.449,
2014-08,0.447,
2014-09,0.457,
2014-10,0.454,
2014-11,0.520,
2014-12,0.522,Provisional value
