"",BBFB1.Q.N.DE.A5.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:01,
1991-01,70.935,
1991-04,71.654,
1991-07,73.847,
1991-10,73.862,
1992-01,114.089,
1992-04,118.919,
1992-07,126.434,
1992-10,130.024,
1993-01,125.688,
1993-04,137.343,
1993-07,136.417,
1993-10,138.325,
1994-01,62.184,
1994-04,65.775,
1994-07,63.972,
1994-10,59.862,
1995-01,81.678,
1995-04,80.562,
1995-07,79.566,
1995-10,82.577,
1996-01,25.813,
1996-04,27.517,
1996-07,29.395,
1996-10,29.747,
1997-01,53.038,
1997-04,51.192,
1997-07,52.345,
1997-10,45.209,
1998-01,169.703,
1998-04,191.327,
1998-07,185.128,
1998-10,205.164,
1999-01,158.140,
1999-04,173.988,
1999-07,172.593,
1999-10,170.295,
2000-01,454.434,
2000-04,535.238,
2000-07,523.598,
2000-10,608.419,
2001-01,1420.496,
2001-04,1519.443,
2001-07,1612.340,
2001-10,1658.528,
2002-01,544.782,
2002-04,617.860,
2002-07,740.190,
2002-10,599.511,
2003-01,435.009,
2003-04,509.388,
2003-07,420.147,
2003-10,473.354,
2004-01,179.159,
2004-04,145.778,
2004-07,145.998,
2004-10,147.215,
2005-01,1521.116,
2005-04,1594.632,
2005-07,1606.547,
2005-10,1567.578,
2006-01,450.152,
2006-04,443.589,
2006-07,429.236,
2006-10,438.052,
2007-01,407.130,
2007-04,412.754,
2007-07,410.256,
2007-10,423.206,
2008-01,539.905,
2008-04,507.007,
2008-07,518.251,
2008-10,464.979,
2009-01,450.106,
2009-04,427.464,
2009-07,423.826,
2009-10,449.570,
2010-01,570.749,
2010-04,578.459,
2010-07,661.352,
2010-10,711.822,
2011-01,659.575,
2011-04,696.898,
2011-07,707.574,
2011-10,725.828,
2012-01,849.025,
2012-04,811.005,
2012-07,848.561,
2012-10,865.136,
2013-01,567.169,
2013-04,556.253,
2013-07,543.748,
2013-10,548.168,
2014-01,610.057,Provisional value
2014-04,686.285,Provisional value
2014-07,736.961,Provisional value
