"",BBSF2.M.1.T.00000.DRE01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DRE01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:32,
2009-09,131,
2009-10,144,
2009-11,147,
2009-12,153,
2010-01,158,
2010-02,164,
2010-03,175,
2010-04,180,
2010-05,182,
2010-06,187,
2010-07,191,
2010-08,162,
2010-09,161,
2010-10,168,
2010-11,208,
2010-12,215,
2011-01,215,
2011-02,220,
2011-03,219,
2011-04,202,
2011-05,203,
2011-06,199,
2011-07,185,
2011-08,185,
2011-09,181,
2011-10,349,
2011-11,389,
2011-12,404,
2012-01,443,
2012-02,448,
2012-03,447,
2012-04,452,
2012-05,454,
2012-06,447,
2012-07,464,
2012-08,458,
2012-09,457,
2012-10,457,
2012-11,500,
2012-12,523,
2013-01,533,
2013-02,539,
2013-03,538,
2013-04,515,
2013-05,514,
2013-06,508,
2013-07,521,
2013-08,534,
2013-09,538,
2013-10,597,
2013-11,652,
2013-12,657,
2014-01,686,
2014-02,686,
2014-03,680,
2014-04,686,
2014-05,707,
2014-06,719,
2014-07,731,
2014-08,751,
2014-09,498,
2014-10,494,
2014-11,510,
