"",BBFN1.M.DE.N.1.L.SA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Saudi Arabia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:54,
1994-12,0.719,
1995-01,0.703,
1995-02,0.728,
1995-03,0.767,
1995-04,0.812,
1995-05,0.569,
1995-06,0.825,
1995-07,0.602,
1995-08,0.612,
1995-09,0.573,
1995-10,0.455,
1995-11,0.469,
1995-12,0.467,
1996-01,0.463,
1996-02,0.342,
1996-03,0.353,
1996-04,0.357,
1996-05,0.375,
1996-06,0.371,
1996-07,0.365,
1996-08,0.371,
1996-09,0.381,
1996-10,0.378,
1996-11,0.363,
1996-12,0.461,
1997-01,0.480,
1997-02,0.494,
1997-03,0.410,
1997-04,0.403,
1997-05,0.415,
1997-06,0.430,
1997-07,0.443,
1997-08,0.439,
1997-09,0.439,
1997-10,0.439,
1997-11,0.357,
1997-12,0.354,
1998-01,0.372,
1998-02,0.361,
1998-03,0.349,
1998-04,0.338,
1998-05,0.341,
1998-06,0.220,
1998-07,0.208,
1998-08,0.205,
1998-09,0.221,
1998-10,0.228,
1998-11,0.218,
1998-12,0.194,
1999-01,0.196,
1999-02,0.201,
1999-03,0.385,
1999-04,0.386,
1999-05,0.411,
1999-06,0.394,
1999-07,0.406,
1999-08,0.459,
1999-09,0.412,
1999-10,0.415,
1999-11,0.440,
1999-12,0.439,
2000-01,0.447,
2000-02,0.454,
2000-03,0.465,
2000-04,0.473,
2000-05,0.461,
2000-06,0.498,
2000-07,0.494,
2000-08,0.510,
2000-09,0.482,
2000-10,0.480,
2000-11,0.491,
2000-12,0.475,
2001-01,0.478,
2001-02,0.506,
2001-03,0.477,
2001-04,0.482,
2001-05,0.418,
2001-06,0.429,
2001-07,0.419,
2001-08,0.442,
2001-09,0.455,
2001-10,0.445,
2001-11,0.465,
2001-12,0.444,
2002-01,0.462,
2002-02,0.454,
2002-03,0.442,
2002-04,0.426,
2002-05,0.464,
2002-06,0.460,
2002-07,0.461,
2002-08,0.439,
2002-09,0.486,
2002-10,0.483,
2002-11,0.506,
2002-12,0.505,
2003-01,0.631,
2003-02,0.593,
2003-03,0.591,
2003-04,0.591,
2003-05,0.590,
2003-06,0.624,
2003-07,0.624,
2003-08,0.652,
2003-09,0.695,
2003-10,0.721,
2003-11,0.722,
2003-12,0.765,
2004-01,0.774,
2004-02,0.709,
2004-03,0.758,
2004-04,0.781,
2004-05,0.767,
2004-06,0.787,
2004-07,0.769,
2004-08,0.802,
2004-09,0.850,
2004-10,0.880,
2004-11,0.884,
2004-12,0.919,
2005-01,0.915,
2005-02,0.926,
2005-03,1.005,
2005-04,1.050,
2005-05,1.113,
2005-06,1.001,
2005-07,1.002,
2005-08,1.013,
2005-09,1.032,
2005-10,1.084,
2005-11,1.136,
2005-12,1.036,
2006-01,1.161,
2006-02,1.206,
2006-03,1.247,
2006-04,1.317,
2006-05,1.387,
2006-06,1.478,
2006-07,1.530,
2006-08,1.636,
2006-09,1.601,
2006-10,1.655,
2006-11,1.607,
2006-12,1.630,
2007-01,1.660,
2007-02,1.712,
2007-03,1.715,
2007-04,1.868,
2007-05,1.922,
2007-06,2.091,
2007-07,2.162,
2007-08,2.236,
2007-09,2.369,
2007-10,2.373,
2007-11,2.427,
2007-12,2.441,
2008-01,2.479,
2008-02,2.507,
2008-03,2.561,
2008-04,2.601,
2008-05,2.621,
2008-06,2.648,
2008-07,2.714,
2008-08,2.716,
2008-09,2.710,
2008-10,2.661,
2008-11,2.717,
2008-12,1.917,
2009-01,2.834,
2009-02,2.857,
2009-03,2.865,
2009-04,2.876,
2009-05,2.376,
2009-06,2.059,
2009-07,1.986,
2009-08,1.956,
2009-09,1.425,
2009-10,1.428,
2009-11,1.349,
2009-12,1.507,
2010-01,1.522,
2010-02,1.561,
2010-03,1.601,
2010-04,1.608,
2010-05,1.476,
2010-06,1.492,
2010-07,1.471,
2010-08,1.438,
2010-09,1.507,
2010-10,1.545,
2010-11,1.557,
2010-12,1.686,
2011-01,1.696,
2011-02,1.788,
2011-03,1.910,
2011-04,1.854,
2011-05,1.966,
2011-06,1.983,
2011-07,1.943,
2011-08,1.947,
2011-09,1.961,
2011-10,1.988,
2011-11,1.901,
2011-12,1.969,
2012-01,2.009,
2012-02,1.954,
2012-03,1.962,
2012-04,1.954,
2012-05,1.916,
2012-06,1.835,
2012-07,1.797,
2012-08,1.792,
2012-09,1.920,
2012-10,1.943,
2012-11,1.899,
2012-12,1.890,
2013-01,1.923,
2013-02,1.938,
2013-03,2.145,
2013-04,2.021,
2013-05,1.941,
2013-06,1.967,
2013-07,1.495,
2013-08,1.348,
2013-09,1.851,
2013-10,1.750,
2013-11,1.723,
2013-12,1.467,
2014-01,1.364,
2014-02,1.358,
2014-03,1.394,
2014-04,1.433,
2014-05,1.442,
2014-06,1.439,
2014-07,1.592,
2014-08,1.615,
2014-09,1.658,
2014-10,1.658,
2014-11,1.662,
2014-12,1.770,
