"",BBK01.OEYM05J,BBK01.OEYM05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:56,
2002-01,0.194,
2002-04,0.199,
2002-07,0.185,
2002-10,0.187,
2003-01,0.190,
2003-04,0.187,
2003-07,0.182,
2003-10,0.236,
2004-01,0.260,
2004-04,0.264,
2004-07,0.348,
2004-10,0.357,
2005-01,0.377,
2005-04,0.410,
2005-07,0.444,
2005-10,0.505,
2006-01,0.481,
2006-04,0.481,
2006-07,0.493,
2006-10,0.460,
2007-01,0.447,
2007-04,0.460,
2007-07,0.439,
2007-10,0.421,
2008-01,0.420,
2008-04,0.499,
2008-07,0.497,
2008-10,0.415,
2009-01,0.425,
2009-04,0.418,
2009-07,0.441,
2009-10,0.417,
2010-01,0.413,
2010-04,0.393,
2010-07,0.392,
2010-10,0.420,
2011-01,0.446,
2011-04,0.475,
2011-07,0.476,
2011-10,0.506,
2012-01,0.610,
2012-04,0.458,
2012-07,0.438,
2012-10,0.452,
2013-01,0.457,
2013-04,0.442,
2013-07,0.443,
2013-10,0.440,
2014-01,0.435,
2014-04,0.441,
2014-07,0.436,
