"",BBK01.OELM08Q,BBK01.OELM08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:13,
2002-01,0.025,
2002-04,0.022,
2002-07,0.021,
2002-10,0.020,
2003-01,0.023,
2003-04,0.020,
2003-07,0.019,
2003-10,0.020,
2004-01,0.021,
2004-04,0.024,
2004-07,0.024,
2004-10,0.024,
2005-01,0.024,
2005-04,0.023,
2005-07,0.022,
2005-10,0.023,
2006-01,0.023,
2006-04,0.023,
2006-07,0.021,
2006-10,0.020,
2007-01,0.022,
2007-04,0.021,
2007-07,0.022,
2007-10,0.022,
2008-01,0.024,
2008-04,0.024,
2008-07,0.024,
2008-10,0.022,
2009-01,0.024,
2009-04,0.025,
2009-07,0.023,
2009-10,0.027,
2010-01,0.025,
2010-04,0.025,
2010-07,0.104,
2010-10,0.106,
2011-01,0.108,
2011-04,0.106,
2011-07,0.108,
2011-10,0.108,
2012-01,0.109,
2012-04,0.110,
2012-07,0.111,
2012-10,0.112,
2013-01,0.113,
2013-04,0.116,
2013-07,0.115,
2013-10,0.110,
2014-01,0.109,
2014-04,0.110,
2014-07,0.112,
