"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.DK.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.DK.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Denmark / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:56,
2009-09,338,
2009-10,304,
2009-11,302,
2009-12,353,
2010-01,370,
2010-02,354,
2010-03,342,
2010-04,359,
2010-05,361,
2010-06,343,
2010-07,345,
2010-08,371,
2010-09,394,
2010-10,421,
2010-11,408,
2010-12,425,
2011-01,435,
2011-02,442,
2011-03,431,
2011-04,453,
2011-05,407,
2011-06,388,
2011-07,446,
2011-08,497,
2011-09,551,
2011-10,579,
2011-11,566,
2011-12,543,
2012-01,545,
2012-02,492,
2012-03,495,
2012-04,502,
2012-05,569,
2012-06,576,
2012-07,569,
2012-08,567,
2012-09,585,
2012-10,580,
2012-11,590,
2012-12,619,
2013-01,616,
2013-02,593,
2013-03,580,
2013-04,564,
2013-05,537,
2013-06,521,
2013-07,522,
2013-08,525,
2013-09,565,
2013-10,574,
2013-11,560,
2013-12,563,
2014-01,578,
2014-02,583,
2014-03,559,
2014-04,533,
2014-05,564,
2014-06,554,
2014-07,558,
2014-08,591,
2014-09,597,
2014-10,596,
2014-11,594,
