"",BBK01.OEAC52S,BBK01.OEAC52S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:15,
2002-01,0.122,
2002-04,0.124,
2002-07,0.120,
2002-10,0.126,
2003-01,0.123,
2003-04,0.125,
2003-07,0.127,
2003-10,0.126,
2004-01,0.125,
2004-04,0.121,
2004-07,0.126,
2004-10,0.120,
2005-01,0.121,
2005-04,0.121,
2005-07,0.120,
2005-10,0.118,
2006-01,0.114,
2006-04,0.115,
2006-07,0.115,
2006-10,0.116,
2007-01,0.118,
2007-04,0.113,
2007-07,0.115,
2007-10,0.129,
2008-01,0.129,
2008-04,0.129,
2008-07,0.136,
2008-10,0.137,
2009-01,0.139,
2009-04,0.133,
2009-07,0.129,
2009-10,0.126,
2010-01,0.141,
2010-04,0.139,
2010-07,0.136,
2010-10,0.149,
2011-01,0.156,
2011-04,0.199,
2011-07,0.229,
2011-10,0.367,
2012-01,0.424,
2012-04,0.488,
2012-07,0.538,
2012-10,0.579,
2013-01,0.582,
2013-04,0.592,
2013-07,0.592,
2013-10,0.591,
2014-01,0.585,
2014-04,0.603,
2014-07,0.598,
