"",BBK01.OEAH85S,BBK01.OEAH85S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:36,
2002-01,0.534,
2002-04,0.539,
2002-07,0.540,
2002-10,0.546,
2003-01,0.582,
2003-04,0.582,
2003-07,0.577,
2003-10,0.713,
2004-01,0.725,
2004-04,0.724,
2004-07,0.724,
2004-10,0.794,
2005-01,0.859,
2005-04,0.846,
2005-07,0.863,
2005-10,0.919,
2006-01,0.932,
2006-04,0.989,
2006-07,0.946,
2006-10,1.181,
2007-01,1.121,
2007-04,1.142,
2007-07,1.265,
2007-10,1.532,
2008-01,1.509,
2008-04,1.489,
2008-07,1.527,
2008-10,1.546,
2009-01,1.621,
2009-04,0.369,
2009-07,0.366,
2009-10,0.370,
2010-01,0.377,
2010-04,0.380,
2010-07,0.331,
2010-10,0.259,
2011-01,0.230,
2011-04,0.275,
2011-07,0.285,
2011-10,0.275,
2012-01,0.263,
2012-04,0.245,
2012-07,0.249,
2012-10,0.163,
2013-01,0.164,
2013-04,0.172,
2013-07,0.221,
2013-10,0.289,
2014-01,0.249,
2014-04,0.253,
2014-07,0.261,
