"",BBK01.OEYI03Q,BBK01.OEYI03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:51,
2002-01,14.633,
2002-04,14.609,
2002-07,12.856,
2002-10,13.941,
2003-01,14.374,
2003-04,14.875,
2003-07,14.594,
2003-10,14.270,
2004-01,15.078,
2004-04,15.095,
2004-07,14.649,
2004-10,28.021,
2005-01,27.260,
2005-04,28.295,
2005-07,28.977,
2005-10,28.559,
2006-01,27.728,
2006-04,28.078,
2006-07,21.989,
2006-10,24.393,
2007-01,24.864,
2007-04,26.468,
2007-07,28.427,
2007-10,32.061,
2008-01,32.543,
2008-04,37.642,
2008-07,38.359,
2008-10,40.119,
2009-01,44.329,
2009-04,39.811,
2009-07,40.786,
2009-10,39.644,
2010-01,40.809,
2010-04,45.666,
2010-07,46.496,
2010-10,43.717,
2011-01,34.754,
2011-04,33.375,
2011-07,39.772,
2011-10,39.375,
2012-01,37.803,
2012-04,40.009,
2012-07,40.582,
2012-10,40.474,
2013-01,36.347,
2013-04,37.329,
2013-07,34.309,
2013-10,34.227,
2014-01,34.699,
2014-04,34.410,
2014-07,33.736,
