"",BBK01.OEBL01U,BBK01.OEBL01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:04,
2002-01,2.543,
2002-04,2.470,
2002-07,2.421,
2002-10,2.529,
2003-01,2.467,
2003-04,2.410,
2003-07,2.396,
2003-10,2.465,
2004-01,2.391,
2004-04,2.354,
2004-07,2.359,
2004-10,2.275,
2005-01,3.270,
2005-04,3.222,
2005-07,3.159,
2005-10,3.231,
2006-01,3.237,
2006-04,3.199,
2006-07,3.108,
2006-10,3.311,
2007-01,3.459,
2007-04,3.536,
2007-07,3.596,
2007-10,3.847,
2008-01,3.860,
2008-04,3.946,
2008-07,4.062,
2008-10,4.445,
2009-01,4.450,
2009-04,4.370,
2009-07,4.384,
2009-10,4.392,
2010-01,4.340,
2010-04,4.357,
2010-07,4.333,
2010-10,4.506,
2011-01,4.538,
2011-04,4.583,
2011-07,4.645,
2011-10,4.746,
2012-01,4.845,
2012-04,4.886,
2012-07,4.773,
2012-10,4.834,
2013-01,4.697,
2013-04,4.667,
2013-07,4.624,
2013-10,4.672,
2014-01,4.667,
2014-04,4.660,
2014-07,4.750,
