"",BBK01.WXI045,BBK01.WXI045_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:38,
2009-01,23311,
2009-02,23209,
2009-03,22526,
2009-04,23064,
2009-05,23325,
2009-06,24250,
2009-07,24590,
2009-08,24620,
2009-09,25252,
2009-10,24915,
2009-11,24425,
2009-12,25029,
2010-01,25293,
2010-02,25366,
2010-03,25724,
2010-04,25585,
2010-05,25988,
2010-06,26645,
2010-07,26068,
2010-08,26263,
2010-09,25753,
2010-10,25232,
2010-11,25758,
2010-12,24998,
2011-01,24772,
2011-02,24548,
2011-03,24357,
2011-04,23951,
2011-05,23890,
2011-06,23673,
2011-07,23789,
2011-08,23471,
2011-09,23758,
2011-10,23318,
2011-11,23542,
2011-12,23517,
2012-01,23551,
2012-02,22904,
2012-03,22872,
2012-04,22875,
2012-05,23487,
2012-06,23350,
2012-07,23189,
2012-08,22002,
2012-09,21915,
2012-10,21185,
2012-11,20827,
2012-12,21056,
2013-01,20582,
2013-02,20519,
2013-03,19955,
2013-04,19604,
2013-05,19463,
2013-06,19426,
2013-07,18585,
2013-08,18010,
2013-09,17991,
2013-10,17514,
2013-11,17640,
2013-12,17695,
2014-01,17574,
2014-02,17179,
2014-03,17081,
2014-04,17081,
2014-05,17161,
2014-06,17356,
2014-07,16614,
2014-08,16341,
2014-09,16461,
2014-10,16082,
2014-11,15704,
