"",BBK01.OEHM02U,BBK01.OEHM02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:34,
2002-01,0.212,
2002-04,0.237,
2002-07,0.211,
2002-10,0.304,
2003-01,0.228,
2003-04,0.267,
2003-07,0.252,
2003-10,0.312,
2004-01,0.255,
2004-04,0.261,
2004-07,0.259,
2004-10,0.284,
2005-01,0.248,
2005-04,0.253,
2005-07,0.265,
2005-10,0.311,
2006-01,0.256,
2006-04,0.249,
2006-07,0.289,
2006-10,0.295,
2007-01,0.249,
2007-04,0.257,
2007-07,0.273,
2007-10,0.297,
2008-01,0.266,
2008-04,0.247,
2008-07,0.257,
2008-10,0.335,
2009-01,0.291,
2009-04,0.295,
2009-07,0.370,
2009-10,0.374,
2010-01,0.383,
2010-04,0.350,
2010-07,0.379,
2010-10,0.369,
2011-01,0.363,
2011-04,0.322,
2011-07,0.277,
2011-10,0.338,
2012-01,0.298,
2012-04,0.320,
2012-07,0.373,
2012-10,0.382,
2013-01,0.374,
2013-04,0.408,
2013-07,0.365,
2013-10,0.456,
2014-01,0.379,
2014-04,0.329,
2014-07,0.381,
