"",BBK01.OELL03O,BBK01.OELL03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:55,
2002-01,3.018,
2002-04,2.980,
2002-07,2.984,
2002-10,3.052,
2003-01,3.062,
2003-04,2.941,
2003-07,2.849,
2003-10,2.850,
2004-01,2.817,
2004-04,2.701,
2004-07,2.699,
2004-10,2.682,
2005-01,2.654,
2005-04,2.596,
2005-07,2.574,
2005-10,2.559,
2006-01,2.545,
2006-04,2.533,
2006-07,2.572,
2006-10,2.712,
2007-01,2.836,
2007-04,3.160,
2007-07,3.313,
2007-10,3.686,
2008-01,3.815,
2008-04,4.076,
2008-07,4.668,
2008-10,5.515,
2009-01,5.202,
2009-04,4.580,
2009-07,3.815,
2009-10,3.266,
2010-01,2.792,
2010-04,2.585,
2010-07,2.532,
2010-10,2.513,
2011-01,2.545,
2011-04,2.586,
2011-07,2.597,
2011-10,2.620,
2012-01,2.596,
2012-04,2.508,
2012-07,2.391,
2012-10,2.248,
2013-01,2.031,
2013-04,1.887,
2013-07,1.813,
2013-10,1.801,
2014-01,1.740,
2014-04,1.695,
2014-07,1.647,
