"",BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:07,
1991-01,2876.982,
1991-04,-4897.768,
1991-07,1290.629,
1991-10,2431.274,
1992-01,985.882,
1992-04,-1223.868,
1992-07,2386.857,
1992-10,10793.743,
1993-01,8281.142,
1993-04,8477.252,
1993-07,4841.287,
1993-10,21388.737,
1994-01,-5702.667,
1994-04,-8008.093,
1994-07,-3818.219,
1994-10,13913.645,
1995-01,-1321.640,
1995-04,11299.266,
1995-07,2502.317,
1995-10,-4646.323,
1996-01,-9663.469,
1996-04,1252.804,
1996-07,-4218.250,
1996-10,11555.666,
1997-01,3004.039,
1997-04,8681.099,
1997-07,3006.586,
1997-10,6318.272,
1998-01,16186.232,
1998-04,-3250.328,
1998-07,3004.341,
1998-10,-13886.255,
1999-01,18594.657,
1999-04,-23873.737,
1999-07,895.128,
1999-10,-7926.430,
2000-01,19135.440,
2000-04,-5545.928,
2000-07,6256.344,
2000-10,-7357.704,
2001-01,34076.823,
2001-04,-1520.841,
2001-07,25740.183,
2001-10,5325.819,
2002-01,-4759.967,
2002-04,16765.312,
2002-07,26284.390,
2002-10,1994.167,
2003-01,46018.122,
2003-04,29609.649,
2003-07,-9731.277,
2003-10,11001.166,
2004-01,49260.407,
2004-04,-14322.132,
2004-07,38755.788,
2004-10,5849.945,
2005-01,44952.843,
2005-04,-7214.778,
2005-07,-549.911,
2005-10,-50748.381,
2006-01,73375.893,
2006-04,22279.675,
2006-07,1353.036,
2006-10,-4491.178,
2007-01,36327.005,
2007-04,16009.798,
2007-07,4102.035,
2007-10,-20482.679,
2008-01,43169.588,
2008-04,-32281.051,
2008-07,17366.632,
2008-10,-54122.449,
2009-01,-47370.219,
2009-04,-908.664,
2009-07,-49139.540,
2009-10,-9792.529,
2010-01,6668.268,
2010-04,-1624.982,
2010-07,-10364.101,
2010-10,18238.031,
2011-01,-6086.370,
2011-04,8001.047,
2011-07,8966.622,
2011-10,-11327.763,
2012-01,8136.738,
2012-04,-10666.806,
2012-07,16258.855,
2012-10,-33123.611,
2013-01,-1968.552,
2013-04,-19941.957,
2013-07,-20479.439,
2013-10,20631.899,
2014-01,20531.631,Provisional value
2014-04,-3210.012,Provisional value
2014-07,-9601.973,Provisional value
2014-10,-25103.522,Provisional value
