"",BBK01.WXI062,BBK01.WXI062_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:28,
2009-09,3,
2009-10,6,
2009-11,6,
2009-12,9,
2010-01,12,
2010-02,11,
2010-03,7,
2010-04,19,
2010-05,11,
2010-06,10,
2010-07,5,
2010-08,3,
2010-09,3,
2010-10,21,
2010-11,5,
2010-12,3,
2011-01,20,
2011-02,7,
2011-03,7,
2011-04,9,
2011-05,5,
2011-06,6,
2011-07,4,
2011-08,7,
2011-09,12,
2011-10,19,
2011-11,6,
2011-12,8,
2012-01,11,
2012-02,9,
2012-03,6,
2012-04,25,
2012-05,7,
2012-06,8,
2012-07,6,
2012-08,11,
2012-09,4,
2012-10,1,
2012-11,3,
2012-12,4,
2013-01,9,
2013-02,11,
2013-03,6,
2013-04,8,
2013-05,14,
2013-06,6,
2013-07,9,
2013-08,6,
2013-09,5,
2013-10,16,
2013-11,11,
2013-12,9,
2014-01,7,
2014-02,12,
2014-03,8,
2014-04,11,
2014-05,7,
2014-06,3,
2014-07,4,
2014-08,7,
2014-09,6,
2014-10,9,
2014-11,16,
