"",BBK01.OEAK01V,BBK01.OEAK01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:10,
2002-01,2.585,
2002-04,2.583,
2002-07,2.753,
2002-10,2.917,
2003-01,2.831,
2003-04,2.815,
2003-07,2.839,
2003-10,2.939,
2004-01,2.828,
2004-04,2.795,
2004-07,2.813,
2004-10,2.890,
2005-01,2.827,
2005-04,2.822,
2005-07,2.866,
2005-10,3.030,
2006-01,3.013,
2006-04,3.027,
2006-07,3.123,
2006-10,3.344,
2007-01,3.296,
2007-04,3.341,
2007-07,3.511,
2007-10,3.629,
2008-01,3.576,
2008-04,3.569,
2008-07,3.691,
2008-10,3.887,
2009-01,3.714,
2009-04,3.730,
2009-07,3.817,
2009-10,3.939,
2010-01,3.824,
2010-04,3.922,
2010-07,4.076,
2010-10,4.223,
2011-01,4.141,
2011-04,4.180,
2011-07,4.272,
2011-10,4.403,
2012-01,4.331,
2012-04,5.284,
2012-07,5.464,
2012-10,5.568,
2013-01,5.532,
2013-04,5.637,
2013-07,5.873,
2013-10,6.056,
2014-01,6.047,
2014-04,6.147,
2014-07,6.391,
