"",BBK01.OEHO02M,BBK01.OEHO02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:08,
2002-01,3.066,
2002-04,2.259,
2002-07,2.237,
2002-10,2.404,
2003-01,2.848,
2003-04,1.974,
2003-07,1.970,
2003-10,2.234,
2004-01,2.457,
2004-04,1.875,
2004-07,1.963,
2004-10,2.329,
2005-01,2.441,
2005-04,1.935,
2005-07,1.876,
2005-10,2.080,
2006-01,2.565,
2006-04,2.125,
2006-07,2.156,
2006-10,2.493,
2007-01,2.636,
2007-04,2.257,
2007-07,2.256,
2007-10,2.554,
2008-01,2.498,
2008-04,2.120,
2008-07,2.107,
2008-10,2.834,
2009-01,2.689,
2009-04,2.155,
2009-07,2.198,
2009-10,2.395,
2010-01,2.281,
2010-04,1.793,
2010-07,1.698,
2010-10,1.696,
2011-01,1.934,
2011-04,1.693,
2011-07,1.626,
2011-10,1.793,
2012-01,1.819,
2012-04,1.548,
2012-07,1.589,
2012-10,1.773,
2013-01,1.830,
2013-04,1.545,
2013-07,1.447,
2013-10,1.578,
2014-01,1.629,
2014-04,1.442,
2014-07,1.372,
