"",BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Direct investment / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:50,
1991-01,-13.231,
1991-04,-5.749,
1991-07,33.547,
1991-10,3.028,
1992-01,26.857,
1992-04,27.379,
1992-07,-28.852,
1992-10,29.722,
1993-01,44.669,
1993-04,50.181,
1993-07,34.863,
1993-10,96.011,
1994-01,15.643,
1994-04,5.869,
1994-07,0.185,
1994-10,38.069,
1995-01,24.303,
1995-04,32.859,
1995-07,52.621,
1995-10,31.528,
1996-01,71.996,
1996-04,40.703,
1996-07,-30.651,
1996-10,138.581,
1997-01,-30.761,
1997-04,62.385,
1997-07,-18.060,
1997-10,-49.092,
1998-01,28.075,
1998-04,-37.906,
1998-07,-78.489,
1998-10,177.404,
1999-01,84.068,
1999-04,202.510,
1999-07,-86.790,
1999-10,526.907,
2000-01,224.631,
2000-04,247.533,
2000-07,273.679,
2000-10,266.065,
2001-01,62.392,
2001-04,168.258,
2001-07,-32.702,
2001-10,103.709,
2002-01,111.611,
2002-04,193.393,
2002-07,27.662,
2002-10,5.162,
2003-01,-39.083,
2003-04,47.691,
2003-07,56.608,
2003-10,-69.454,
2004-01,77.210,
2004-04,206.491,
2004-07,-16.814,
2004-10,645.593,
2005-01,-29.373,
2005-04,175.562,
2005-07,119.946,
2005-10,141.252,
2006-01,131.494,
2006-04,290.204,
2006-07,-108.679,
2006-10,72.296,
2007-01,2048.717,
2007-04,455.826,
2007-07,171.341,
2007-10,-1380.181,
2008-01,-487.277,
2008-04,211.244,
2008-07,-32.247,
2008-10,-93.468,
2009-01,206.990,
2009-04,220.942,
2009-07,-33.124,
2009-10,-403.396,
2010-01,359.064,
2010-04,226.841,
2010-07,125.037,
2010-10,145.308,
2011-01,235.275,
2011-04,38.043,
2011-07,224.580,
2011-10,257.938,
2012-01,277.255,
2012-04,224.979,
2012-07,749.977,
2012-10,-430.496,
2013-01,264.798,
2013-04,82.223,
2013-07,102.733,
2013-10,174.456,
2014-01,250.006,Provisional value
2014-04,118.591,Provisional value
2014-07,46.083,Provisional value
2014-10,-1341.757,Provisional value
