"",BBK01.OEAH73S,BBK01.OEAH73S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:32,
2002-01,2.202,
2002-04,2.124,
2002-07,2.060,
2002-10,2.076,
2003-01,1.956,
2003-04,1.899,
2003-07,1.859,
2003-10,1.885,
2004-01,1.809,
2004-04,1.818,
2004-07,1.836,
2004-10,0.438,
2005-01,0.469,
2005-04,0.571,
2005-07,0.532,
2005-10,0.496,
2006-01,0.520,
2006-04,0.578,
2006-07,0.644,
2006-10,0.528,
2007-01,0.656,
2007-04,0.794,
2007-07,0.881,
2007-10,0.868,
2008-01,0.946,
2008-04,1.020,
2008-07,1.113,
2008-10,0.959,
2009-01,0.895,
2009-04,0.609,
2009-07,0.619,
2009-10,0.515,
2010-01,0.431,
2010-04,0.501,
2010-07,0.663,
2010-10,0.506,
2011-01,0.574,
2011-04,0.584,
2011-07,0.605,
2011-10,0.848,
2012-01,1.013,
2012-04,1.097,
2012-07,1.167,
2012-10,1.122,
2013-01,1.076,
2013-04,1.134,
2013-07,1.073,
2013-10,1.061,
2014-01,1.063,
2014-04,1.032,
2014-07,0.969,
