"",BBK01.OEHK02S,BBK01.OEHK02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:34,
2002-01,0.384,
2002-04,0.392,
2002-07,0.412,
2002-10,0.444,
2003-01,0.427,
2003-04,0.428,
2003-07,0.457,
2003-10,0.490,
2004-01,0.460,
2004-04,0.484,
2004-07,0.504,
2004-10,0.527,
2005-01,0.489,
2005-04,0.496,
2005-07,0.521,
2005-10,0.545,
2006-01,0.502,
2006-04,0.505,
2006-07,0.527,
2006-10,0.557,
2007-01,0.522,
2007-04,0.527,
2007-07,0.539,
2007-10,0.554,
2008-01,0.516,
2008-04,0.524,
2008-07,0.538,
2008-10,0.569,
2009-01,0.564,
2009-04,0.605,
2009-07,0.663,
2009-10,0.716,
2010-01,0.685,
2010-04,0.710,
2010-07,0.745,
2010-10,0.774,
2011-01,0.719,
2011-04,0.740,
2011-07,0.774,
2011-10,0.807,
2012-01,0.764,
2012-04,0.778,
2012-07,0.825,
2012-10,0.846,
2013-01,0.820,
2013-04,0.842,
2013-07,0.912,
2013-10,0.934,
2014-01,0.922,
2014-04,0.940,
2014-07,0.999,
