"",BBK01.OEAO04N,BBK01.OEAO04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:15,
2002-01,-0.117,
2002-04,-3.231,
2002-07,-0.758,
2002-10,1.985,
2003-01,1.070,
2003-04,-0.902,
2003-07,-0.262,
2003-10,0.077,
2004-01,-0.132,
2004-04,-0.655,
2004-07,-0.263,
2004-10,-0.542,
2005-01,-0.611,
2005-04,-1.323,
2005-07,-1.539,
2005-10,-1.278,
2006-01,0.331,
2006-04,-0.287,
2006-07,-1.196,
2006-10,-1.655,
2007-01,-1.877,
2007-04,-2.069,
2007-07,-1.223,
2007-10,-0.490,
2008-01,-1.685,
2008-04,-2.797,
2008-07,-2.330,
2008-10,3.751,
2009-01,1.296,
2009-04,1.487,
2009-07,-0.366,
2009-10,0.453,
2010-01,1.436,
2010-04,0.382,
2010-07,-0.275,
2010-10,0.397,
2011-01,0.184,
2011-04,-1.495,
2011-07,-1.658,
2011-10,-1.909,
2012-01,-0.067,
2012-04,-0.898,
2012-07,-0.606,
2012-10,-1.143,
2013-01,-1.665,
2013-04,-1.136,
2013-07,-0.943,
2013-10,-0.442,
2014-01,-0.625,
2014-04,-1.151,
2014-07,0.463,
