"",BBK01.BJ2936,BBK01.BJ2936_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - interest expenditure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:06,
1991,39410,
1992,51456,
1993,52182,
1994,58308,
1995,65943,
1996,66848,
1997,67530,
1998,68378,
1999,69829,
2000,67646,
2001,66587,
2002,66061,
2003,65559,
2004,64764,
2005,63959,
2006,64422,
2007,65993,
2008,67238,
2009,63379,
2010,57666,
2011,56795,Provisional value
2012,69890,Provisional value
2013,66195,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
