"",BBK01.OEAA49O,BBK01.OEAA49O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:44,
2002-01,2.483,
2002-04,2.613,
2002-07,2.712,
2002-10,1.591,
2003-01,2.412,
2003-04,0.700,
2003-07,1.977,
2003-10,1.453,
2004-01,2.058,
2004-04,0.979,
2004-07,1.685,
2004-10,1.636,
2005-01,5.648,
2005-04,5.565,
2005-07,5.217,
2005-10,5.618,
2006-01,5.989,
2006-04,6.458,
2006-07,6.326,
2006-10,6.420,
2007-01,6.575,
2007-04,7.209,
2007-07,8.302,
2007-10,9.109,
2008-01,9.829,
2008-04,10.182,
2008-07,9.299,
2008-10,8.482,
2009-01,8.467,
2009-04,8.714,
2009-07,9.195,
2009-10,10.853,
2010-01,11.012,
2010-04,10.119,
2010-07,9.728,
2010-10,9.708,
2011-01,9.577,
2011-04,9.456,
2011-07,10.479,
2011-10,10.411,
2012-01,9.067,
2012-04,8.819,
2012-07,8.290,
2012-10,8.671,
2013-01,8.435,
2013-04,8.026,
2013-07,8.648,
2013-10,8.218,
2014-01,7.817,
2014-04,7.034,
2014-07,6.795,
