"",BBK01.OECB06L,BBK01.OECB06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:26,
2002-01,22.524,
2002-04,17.970,
2002-07,19.679,
2002-10,16.397,
2003-01,19.202,
2003-04,20.140,
2003-07,23.255,
2003-10,21.707,
2004-01,20.385,
2004-04,16.512,
2004-07,16.331,
2004-10,19.315,
2005-01,23.577,
2005-04,23.815,
2005-07,31.684,
2005-10,28.411,
2006-01,34.376,
2006-04,38.893,
2006-07,40.059,
2006-10,22.508,
2007-01,33.733,
2007-04,33.952,
2007-07,31.635,
2007-10,26.681,
2008-01,34.491,
2008-04,29.531,
2008-07,25.748,
2008-10,23.280,
2009-01,28.654,
2009-04,27.239,
2009-07,28.417,
2009-10,25.131,
2010-01,24.707,
2010-04,26.003,
2010-07,24.514,
2010-10,34.570,
2011-01,34.624,
2011-04,35.324,
2011-07,32.230,
2011-10,35.789,
2012-01,34.974,
2012-04,33.106,
2012-07,33.122,
2012-10,34.335,
2013-01,38.256,
2013-04,46.303,
2013-07,18.301,
2013-10,21.032,
2014-01,21.757,
2014-04,21.480,
2014-07,21.482,
