"",BBDA1.M.DE.N.IM.S.GP09IS03.W1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.GP09IS03.W1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Capital goods / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:56,
2008-01,19160628,
2008-02,19114741,
2008-03,19449337,
2008-04,20220112,
2008-05,18334549,
2008-06,18867073,
2008-07,19450890,
2008-08,16695151,
2008-09,19439499,
2008-10,19529660,
2008-11,19005325,
2008-12,17956867,
2009-01,15867344,
2009-02,16777109,
2009-03,18756575,
2009-04,17217670,
2009-05,15585312,
2009-06,16862184,
2009-07,16087765,
2009-08,14587938,
2009-09,17927393,
2009-10,18286986,
2009-11,16565653,
2009-12,16328493,
2010-01,15358523,
2010-02,16193305,
2010-03,21096353,
2010-04,17992756,
2010-05,18926458,
2010-06,21778047,
2010-07,20582884,
2010-08,17774494,
2010-09,21103597,
2010-10,20932672,
2010-11,22774980,
2010-12,20357199,
2011-01,19090636,
2011-02,20574796,
2011-03,23023315,
2011-04,20352801,
2011-05,22202564,
2011-06,21968826,
2011-07,20209686,
2011-08,18749793,
2011-09,22481625,
2011-10,23154310,
2011-11,22981081,
2011-12,21035218,
2012-01,20267615,
2012-02,21227281,
2012-03,22967223,
2012-04,21239437,
2012-05,21877186,
2012-06,21893011,
2012-07,21552451,
2012-08,20414355,
2012-09,20676224,
2012-10,23064834,
2012-11,23143586,
2012-12,18443690,
2013-01,20880441,
2013-02,19560711,
2013-03,22312113,
2013-04,22011192,
2013-05,21287957,
2013-06,21681313,
2013-07,21470607,
2013-08,18629012,
2013-09,20514475,
2013-10,23985682,
2013-11,22704635,
2013-12,19300956,
2014-01,21508088,
2014-02,22325460,
2014-03,25064509,
2014-04,23061373,
2014-05,22130787,
2014-06,24184456,
2014-07,22907807,
2014-08,18841146,
2014-09,24576720,
2014-10,24868209,
2014-11,23967000,
2014-12,21904118,
