"",BBSF2.M.1.T.00000.ALT01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.ALT01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Pension investment funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:16,
2009-09,21,
2009-10,20,
2009-11,19,
2009-12,14,
2010-01,15,
2010-02,16,
2010-03,10,
2010-04,12,
2010-05,13,
2010-06,12,
2010-07,11,
2010-08,9,
2010-09,10,
2010-10,15,
2010-11,6,
2010-12,8,
2011-01,21,
2011-02,11,
2011-03,14,
2011-04,15,
2011-05,24,
2011-06,24,
2011-07,21,
2011-08,18,
2011-09,42,
2011-10,53,
2011-11,55,
2011-12,51,
2012-01,48,
2012-02,37,
2012-03,39,
2012-04,38,
2012-05,33,
2012-06,36,
2012-07,34,
2012-08,21,
2012-09,23,
2012-10,28,
2012-11,30,
2012-12,38,
2013-01,33,
2013-02,27,
2013-03,23,
2013-04,18,
2013-05,34,
2013-06,23,
2013-07,28,
2013-08,27,
2013-09,28,
2013-10,29,
2013-11,24,
2013-12,21,
2014-01,28,
2014-02,16,
2014-03,19,
2014-04,17,
2014-05,16,
2014-06,18,
2014-07,25,
2014-08,30,
2014-09,31,
2014-10,23,
2014-11,16,
