"",BBDE1.M.DE.Y.GUB5.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.GUB5.A2P300000.F.V.I10.A_FLAGS
"",Turnover industry from abroad / At current prices / Germany / Industry / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:11:53,
1991-01,42.7,
1991-02,41.8,
1991-03,41.1,
1991-04,41.6,
1991-05,40.8,
1991-06,42.0,
1991-07,41.3,
1991-08,41.9,
1991-09,42.4,
1991-10,43.6,
1991-11,45.0,
1991-12,44.4,
1992-01,43.1,
1992-02,43.1,
1992-03,43.3,
1992-04,43.4,
1992-05,43.0,
1992-06,42.1,
1992-07,41.7,
1992-08,41.5,
1992-09,42.9,
1992-10,41.2,
1992-11,41.5,
1992-12,40.7,
1993-01,37.9,
1993-02,39.7,
1993-03,39.7,
1993-04,38.7,
1993-05,39.1,
1993-06,38.5,
1993-07,38.3,
1993-08,39.8,
1993-09,39.8,
1993-10,39.6,
1993-11,39.8,
1993-12,41.3,
1994-01,39.9,
1994-02,41.4,
1994-03,41.4,
1994-04,41.9,
1994-05,41.9,
1994-06,42.5,
1994-07,42.8,
1994-08,41.8,
1994-09,43.7,
1994-10,44.7,
1994-11,45.4,
1994-12,45.8,
1995-01,46.2,
1995-02,46.2,
1995-03,45.7,
1995-04,45.9,
1995-05,46.1,
1995-06,46.3,
1995-07,45.0,
1995-08,45.3,
1995-09,46.7,
1995-10,45.9,
1995-11,45.6,
1995-12,47.6,
1996-01,45.9,
1996-02,46.0,
1996-03,46.7,
1996-04,47.8,
1996-05,47.6,
1996-06,48.4,
1996-07,47.9,
1996-08,47.6,
1996-09,50.0,
1996-10,49.7,
1996-11,51.1,
1996-12,51.0,
1997-01,51.0,
1997-02,51.7,
1997-03,52.3,
1997-04,52.4,
1997-05,53.0,
1997-06,55.1,
1997-07,56.1,
1997-08,55.8,
1997-09,56.3,
1997-10,57.0,
1997-11,58.2,
1997-12,58.5,
1998-01,56.7,
1998-02,57.7,
1998-03,58.0,
1998-04,58.0,
1998-05,58.7,
1998-06,60.6,
1998-07,59.5,
1998-08,59.7,
1998-09,58.5,
1998-10,58.0,
1998-11,57.0,
1998-12,58.6,
1999-01,57.2,
1999-02,57.7,
1999-03,60.0,
1999-04,58.4,
1999-05,59.9,
1999-06,60.2,
1999-07,61.4,
1999-08,62.8,
1999-09,63.8,
1999-10,63.4,
1999-11,64.2,
1999-12,66.0,
2000-01,65.1,
2000-02,66.1,
2000-03,67.8,
2000-04,67.6,
2000-05,70.1,
2000-06,71.6,
2000-07,72.5,
2000-08,74.2,
2000-09,74.6,
2000-10,75.2,
2000-11,74.8,
2000-12,75.0,
2001-01,75.1,
2001-02,76.3,
2001-03,76.0,
2001-04,74.4,
2001-05,74.3,
2001-06,74.5,
2001-07,73.9,
2001-08,75.3,
2001-09,76.0,
2001-10,72.6,
2001-11,72.4,
2001-12,72.8,
2002-01,75.0,
2002-02,74.3,
2002-03,73.8,
2002-04,74.5,
2002-05,74.4,
2002-06,74.4,
2002-07,75.2,
2002-08,77.3,
2002-09,76.5,
2002-10,75.1,
2002-11,77.2,
2002-12,77.7,
2003-01,76.0,
2003-02,75.3,
2003-03,76.5,
2003-04,76.5,
2003-05,72.9,
2003-06,72.6,
2003-07,77.0,
2003-08,74.1,
2003-09,75.4,
2003-10,76.6,
2003-11,78.3,
2003-12,81.3,
2004-01,77.4,
2004-02,81.0,
2004-03,79.6,
2004-04,81.8,
2004-05,83.2,
2004-06,84.4,
2004-07,83.9,
2004-08,82.6,
2004-09,83.4,
2004-10,83.6,
2004-11,82.8,
2004-12,83.9,
2005-01,85.2,
2005-02,83.5,
2005-03,86.5,
2005-04,85.3,
2005-05,85.4,
2005-06,87.3,
2005-07,87.9,
2005-08,88.7,
2005-09,91.0,
2005-10,91.0,
2005-11,92.7,
2005-12,92.1,
2006-01,92.1,
2006-02,94.4,
2006-03,94.2,
2006-04,96.6,
2006-05,97.4,
2006-06,97.5,
2006-07,97.4,
2006-08,99.8,
2006-09,100.1,
2006-10,100.4,
2006-11,102.4,
2006-12,101.1,
2007-01,104.8,
2007-02,104.9,
2007-03,105.1,
2007-04,104.6,
2007-05,106.7,
2007-06,106.5,
2007-07,107.2,
2007-08,106.8,
2007-09,109.2,
2007-10,110.1,
2007-11,108.9,
2007-12,110.4,
2008-01,111.5,
2008-02,112.1,
2008-03,110.9,
2008-04,112.1,
2008-05,109.2,
2008-06,109.0,
2008-07,107.2,
2008-08,109.5,
2008-09,107.9,
2008-10,107.5,
2008-11,101.3,
2008-12,94.6,
2009-01,81.7,
2009-02,79.7,
2009-03,80.8,
2009-04,76.9,
2009-05,80.9,
2009-06,83.0,
2009-07,83.8,
2009-08,83.2,
2009-09,89.3,
2009-10,86.8,
2009-11,88.6,
2009-12,90.4,
2010-01,90.2,
2010-02,90.7,
2010-03,92.2,
2010-04,95.4,
2010-05,100.1,
2010-06,99.8,
2010-07,98.7,
2010-08,100.9,
2010-09,101.8,
2010-10,105.1,
2010-11,106.2,
2010-12,110.3,
2011-01,108.5,
2011-02,107.8,
2011-03,108.9,
2011-04,108.5,
2011-05,107.7,
2011-06,108.0,
2011-07,111.3,
2011-08,111.4,
2011-09,110.4,
2011-10,109.9,
2011-11,109.4,
2011-12,107.9,
2012-01,108.9,
2012-02,112.2,
2012-03,112.5,
2012-04,110.4,
2012-05,113.5,
2012-06,111.8,
2012-07,113.2,
2012-08,114.3,
2012-09,111.2,
2012-10,110.2,
2012-11,109.2,
2012-12,111.1,
2013-01,108.5,
2013-02,110.1,
2013-03,113.1,
2013-04,114.9,
2013-05,112.7,
2013-06,112.1,
2013-07,110.7,
2013-08,112.9,
2013-09,113.2,
2013-10,113.8,
2013-11,116.8,
2013-12,116.4,
2014-01,118.5,
2014-02,116.5,
2014-03,115.5,
2014-04,115.5,
2014-05,115.8,
2014-06,117.1,
2014-07,117.7,
2014-08,118.1,
2014-09,117.6,
2014-10,120.3,
2014-11,119.8,
2014-12,119.6,Provisional value
