"",BBK01.OEHL04O,BBK01.OEHL04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:50,
2002-01,1.920,
2002-04,1.894,
2002-07,1.955,
2002-10,1.911,
2003-01,1.906,
2003-04,1.873,
2003-07,1.816,
2003-10,1.747,
2004-01,1.726,
2004-04,1.718,
2004-07,1.597,
2004-10,1.490,
2005-01,1.479,
2005-04,1.447,
2005-07,1.461,
2005-10,1.441,
2006-01,1.489,
2006-04,1.529,
2006-07,1.555,
2006-10,1.615,
2007-01,1.723,
2007-04,1.781,
2007-07,1.872,
2007-10,2.031,
2008-01,2.182,
2008-04,2.373,
2008-07,2.515,
2008-10,2.837,
2009-01,2.434,
2009-04,1.972,
2009-07,1.555,
2009-10,1.305,
2010-01,1.171,
2010-04,1.031,
2010-07,0.949,
2010-10,0.936,
2011-01,0.878,
2011-04,0.919,
2011-07,0.980,
2011-10,1.000,
2012-01,0.951,
2012-04,0.890,
2012-07,0.804,
2012-10,0.759,
2013-01,0.573,
2013-04,0.548,
2013-07,0.512,
2013-10,0.477,
2014-01,0.447,
2014-04,0.438,
2014-07,0.431,
