"",BBK01.OELM02O,BBK01.OELM02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:35,
2002-01,0.066,
2002-04,0.056,
2002-07,0.045,
2002-10,0.064,
2003-01,0.055,
2003-04,0.049,
2003-07,0.060,
2003-10,0.069,
2004-01,0.069,
2004-04,0.062,
2004-07,0.062,
2004-10,0.073,
2005-01,0.073,
2005-04,0.059,
2005-07,0.072,
2005-10,0.075,
2006-01,0.144,
2006-04,0.072,
2006-07,0.097,
2006-10,0.102,
2007-01,0.107,
2007-04,0.092,
2007-07,0.085,
2007-10,0.093,
2008-01,0.108,
2008-04,0.127,
2008-07,0.102,
2008-10,0.139,
2009-01,0.210,
2009-04,0.274,
2009-07,0.278,
2009-10,0.206,
2010-01,0.270,
2010-04,0.347,
2010-07,0.339,
2010-10,0.342,
2011-01,0.339,
2011-04,0.247,
2011-07,0.186,
2011-10,0.279,
2012-01,0.222,
2012-04,0.308,
2012-07,0.354,
2012-10,0.253,
2013-01,0.245,
2013-04,0.231,
2013-07,0.256,
2013-10,0.277,
2014-01,0.392,
2014-04,0.322,
2014-07,0.257,
