"",BBK01.OEXJ06M,BBK01.OEXJ06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:55,
2002-01,0.036,
2002-04,0.033,
2002-07,0.030,
2002-10,0.023,
2003-01,0.023,
2003-04,0.016,
2003-07,0.014,
2003-10,0.015,
2004-01,0.015,
2004-04,0.015,
2004-07,0.010,
2004-10,0.011,
2005-01,0.011,
2005-04,0.018,
2005-07,0.019,
2005-10,0.018,
2006-01,0.019,
2006-04,0.018,
2006-07,0.017,
2006-10,0.017,
2007-01,0.015,
2007-04,0.015,
2007-07,0.011,
2007-10,0.009,
2008-01,0.029,
2008-04,0.029,
2008-07,0.027,
2008-10,0.026,
2009-01,0.026,
2009-04,0.026,
2009-07,0.026,
2009-10,0.026,
2010-01,0.026,
2010-04,0.035,
2010-07,0.040,
2010-10,0.051,
2011-01,0.098,
2011-04,0.099,
2011-07,0.100,
2011-10,0.102,
2012-01,0.114,
2012-04,0.115,
2012-07,0.115,
2012-10,0.092,
2013-01,0.039,
2013-04,0.032,
2013-07,0.039,
2013-10,0.034,
2014-01,0.033,
2014-04,0.032,
2014-07,0.032,
