"",BBFB1.Q.N.DE.AU.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:49,
1991-01,0.218,
1991-04,0.218,
1991-07,0.218,
1991-10,-1.557,
1992-01,0.592,
1992-04,0.592,
1992-07,0.592,
1992-10,0.592,
1993-01,-3.749,
1993-04,-3.749,
1993-07,-3.749,
1993-10,-3.749,
1994-01,1.186,
1994-04,1.186,
1994-07,1.186,
1994-10,1.186,
1995-01,-10.481,
1995-04,-10.481,
1995-07,-10.481,
1995-10,-10.481,
1996-01,4.068,
1996-04,4.068,
1996-07,4.068,
1996-10,4.068,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-0.153,
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-36.000,
1999-04,-36.000,
1999-07,-33.000,
1999-10,-76.561,
2000-01,-2.000,
2000-04,-2.000,
2000-07,-1.000,
2000-10,-,Nothing exists
2001-01,1.252,
2001-04,0.653,
2001-07,0.653,
2001-10,1.314,
2002-01,0.855,
2002-04,1.027,
2002-07,0.111,
2002-10,1.282,
2003-01,-2.086,
2003-04,-2.498,
2003-07,-3.711,
2003-10,-3.127,
2004-01,-4.904,
2004-04,-4.851,
2004-07,-4.121,
2004-10,-4.281,
2005-01,0.725,
2005-04,0.717,
2005-07,-1.237,
2005-10,0.794,
2006-01,15.923,
2006-04,-62.843,
2006-07,-62.383,
2006-10,22.307,
2007-01,-29.987,
2007-04,35.620,
2007-07,-29.167,
2007-10,16.654,
2008-01,-54.036,
2008-04,-39.907,
2008-07,51.049,
2008-10,-42.112,
2009-01,-2.869,
2009-04,-7.919,
2009-07,-4.027,
2009-10,1.816,
2010-01,-195.081,
2010-04,-148.253,
2010-07,4.662,
2010-10,3.672,
2011-01,-94.905,
2011-04,-71.142,
2011-07,-39.871,
2011-10,-146.081,
2012-01,-11.785,
2012-04,-24.070,
2012-07,-56.944,
2012-10,-32.404,
2013-01,-106.160,
2013-04,-47.727,
2013-07,-56.044,
2013-10,-41.635,
2014-01,-140.923,Provisional value
2014-04,-55.866,Provisional value
2014-07,-80.689,Provisional value
2014-10,-39.643,Provisional value
