"",BBSF2.M.1.P.00000.GEM01.I.F.AKR.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEM01.I.F.AKR.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed securities funds / Loans received,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:56,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,3,
1993-05,3,
1993-06,1,
1993-07,7,
1993-08,6,
1993-09,5,
1993-10,14,
1993-11,4,
1993-12,0,
1994-01,6,
1994-02,1,
1994-03,1,
1994-04,1,
1994-05,3,
1994-06,3,
1994-07,7,
1994-08,1,
1994-09,0,
1994-10,6,
1994-11,4,
1994-12,3,
1995-01,2,
1995-02,1,
1995-03,1,
1995-04,2,
1995-05,2,
1995-06,1,
1995-07,1,
1995-08,5,
1995-09,0,
1995-10,1,
1995-11,0,
1995-12,4,
1996-01,2,
1996-02,1,
1996-03,8,
1996-04,1,
1996-05,9,
1996-06,1,
1996-07,2,
1996-08,2,
1996-09,3,
1996-10,1,
1996-11,1,
1996-12,1,
1997-01,1,
1997-02,4,
1997-03,1,
1997-04,1,
1997-05,2,
1997-06,8,
1997-07,5,
1997-08,7,
1997-09,2,
1997-10,4,
1997-11,5,
1997-12,3,
1998-01,3,
1998-02,4,
1998-03,3,
1998-04,8,
1998-05,6,
1998-06,7,
1998-07,8,
1998-08,9,
1998-09,5,
1998-10,3,
1998-11,5,
1998-12,1,
1999-01,1,
1999-02,2,
1999-03,4,
1999-04,6,
1999-05,10,
1999-06,9,
1999-07,6,
1999-08,6,
1999-09,2,
1999-10,6,
1999-11,1,
1999-12,2,
2000-01,6,
2000-02,4,
2000-03,2,
2000-04,2,
2000-05,3,
2000-06,1,
2000-07,4,
2000-08,20,
2000-09,1,
2000-10,1,
2000-11,4,
2000-12,8,
2001-01,4,
2001-02,3,
2001-03,4,
2001-04,1,
2001-05,1,
2001-06,4,
2001-07,2,
2001-08,4,
2001-09,3,
2001-10,2,
2001-11,4,
2001-12,2,
2002-01,3,
2002-02,1,
2002-03,12,
2002-04,6,
2002-05,3,
2002-06,13,
2002-07,30,
2002-08,8,
2002-09,3,
2002-10,8,
2002-11,4,
2002-12,4,
2003-01,14,
2003-02,13,
2003-03,12,
2003-04,48,
2003-05,16,
2003-06,20,
2003-07,13,
2003-08,13,
2003-09,6,
2003-10,8,
2003-11,13,
2003-12,4,
2004-01,13,
2004-02,21,
2004-03,9,
2004-04,14,
2004-05,21,
2004-06,33,
2004-07,13,
2004-08,9,
2004-09,4,
2004-10,6,
2004-11,15,
2004-12,12,
2005-01,26,
2005-02,9,
2005-03,10,
2005-04,10,
2005-05,9,
2005-06,14,
2005-07,13,
2005-08,8,
2005-09,3,
2005-10,8,
2005-11,15,
2005-12,9,
2006-01,15,
2006-02,12,
2006-03,29,
2006-04,34,
2006-05,52,
2006-06,128,
2006-07,25,
2006-08,21,
2006-09,34,
2006-10,48,
2006-11,51,
2006-12,42,
2007-01,35,
2007-02,27,
2007-03,19,
2007-04,32,
2007-05,25,
2007-06,11,
2007-07,13,
2007-08,10,
2007-09,28,
2007-10,50,
2007-11,63,
2007-12,69,
2008-01,51,
2008-02,54,
2008-03,27,
2008-04,48,
2008-05,71,
2008-06,52,
2008-07,69,
2008-08,78,
2008-09,100,
2008-10,15,
2008-11,9,
2008-12,13,
2009-01,27,
2009-02,19,
2009-03,66,
2009-04,40,
2009-05,29,
2009-06,5,
2009-07,10,
2009-08,4,
2009-09,2,
2009-10,5,
2009-11,3,
2009-12,4,
2010-01,13,
2010-02,30,
2010-03,9,
2010-04,6,
2010-05,15,
2010-06,11,
2010-07,32,
2010-08,17,
2010-09,49,
2010-10,33,
2010-11,44,
2010-12,13,
2011-01,31,
2011-02,28,
2011-03,28,
2011-04,27,
2011-05,28,
2011-06,24,
2011-07,19,
2011-08,34,
2011-09,23,
2011-10,17,
2011-11,35,
2011-12,46,
2012-01,6,
2012-02,9,
2012-03,8,
2012-04,14,
2012-05,7,
2012-06,15,
2012-07,10,
2012-08,9,
2012-09,27,
2012-10,18,
2012-11,23,
2012-12,6,
2013-01,23,
2013-02,43,
2013-03,10,
2013-04,13,
2013-05,19,
2013-06,19,
2013-07,7,
2013-08,37,
2013-09,21,
2013-10,42,
2013-11,56,
2013-12,18,
2014-01,30,
2014-02,61,
2014-03,16,
2014-04,16,
2014-05,16,
2014-06,47,
2014-07,39,
2014-08,73,
2014-09,26,
2014-10,14,
2014-11,39,
