"",BBEX3.M.HNL.EUR.CA.AB.A01,BBEX3.M.HNL.EUR.CA.AB.A01_FLAGS
"",Exchange rates (comparable rates) for the euro in Honduras * / EUR 1 = HNL ... (selling),
unit,HNL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:47,
1999-01,16.0240,
1999-02,15.5673,
1999-03,15.2564,
1999-04,15.1081,
1999-05,14.9996,
1999-06,14.8780,
1999-07,15.4596,
1999-08,15.3615,
1999-09,15.5543,
1999-10,15.2829,
1999-11,14.8260,
1999-12,14.7892,
2000-01,14.9150,comment
2000-02,14.4199,
2000-03,14.2195,
2000-04,13.5245,
2000-05,13.9655,
2000-06,14.3695,
2000-07,13.9539,
2000-08,13.5066,
2000-09,13.3575,
2000-10,12.6728,
2000-11,13.3202,
2000-12,14.2900,
2001-01,14.3184,
2001-02,14.2935,
2001-03,13.6998,
2001-04,13.8133,
2001-05,13.2441,
2001-06,13.2963,
2001-07,13.7766,
2001-08,14.4526,
2001-09,14.4987,
2001-10,14.4665,
2001-11,14.3158,
2001-12,14.2405,
2002-01,14.0522,
2002-02,14.1452,
2002-03,14.3371,
2002-04,14.8718,
2002-05,15.5689,
2002-06,16.6326,
2002-07,16.3844,
2002-08,16.5489,
2002-09,16.6863,
2002-10,16.7980,
2002-11,16.9683,
2002-12,18.0136,
2003-01,18.6600,
2003-02,18.6728,
2003-03,18.8695,
2003-04,19.3593,
2003-05,20.6202,
2003-06,20.0368,
2003-07,19.9322,
2003-08,19.3183,
2003-09,20.6717,
2003-10,20.7255,
2003-11,21.4544,
2003-12,22.7169,
2004-01,22.3282,
2004-02,22.4566,
2004-03,22.1945,
2004-04,21.8268,
2004-05,22.3791,
2004-06,22.3792,
2004-07,22.2553,
2004-08,22.4956,
2004-09,23.1389,
2004-10,23.8435,
2004-11,24.9680,
2004-12,25.7573,
2005-01,24.6753,
2005-02,25.1618,
2005-03,24.6446,
2005-04,24.7608,
2005-05,23.4166,
2005-06,22.9748,
2005-07,22.9767,
2005-08,23.1762,
2005-09,22.9039,
2005-10,22.8798,
2005-11,22.3964,
2005-12,22.4497,
2006-01,23.0606,
2006-02,22.5981,
2006-03,23.0339,
2006-04,23.8579,
2006-05,24.4878,
2006-06,24.1928,
2006-07,24.2956,
2006-08,24.4555,
2006-09,24.1928,
2006-10,24.1605,
2006-11,25.1196,
2006-12,25.0625,
2007-01,24.6515,
2007-02,25.1405,
2007-03,25.3442,
2007-04,25.8903,
2007-05,25.6011,
2007-06,25.7000,
2007-07,26.0844,
2007-08,26.0806,
2007-09,26.9826,
2007-10,27.4926,
2007-11,28.0902,
2007-12,28.0141,
2008-01,28.2976,
2008-02,28.8628,
2008-03,30.0902,
2008-04,29.7436,
2008-05,29.5427,
2008-06,29.9989,
2008-07,29.7077,
2008-08,28.0407,
2008-09,27.2186,
2008-10,24.2733,
2008-11,24.2155,
2008-12,26.4804,
2009-01,24.3854,
2009-02,24.0582,
2009-03,25.3217,
2009-04,25.2589,
2009-05,26.8248,
2009-06,26.8929,
2009-07,26.9009,
2009-08,27.1558,
2009-09,27.8618,
2009-10,28.1603,
2009-11,28.5846,
2009-12,27.4109,
2010-01,26.5732,
2010-02,25.8200,
2010-03,25.6470,
2010-04,25.3348,
2010-05,23.4169,
2010-06,23.3484,
2010-07,24.7886,
2010-08,24.1256,
2010-09,25.9683,
2010-10,26.3591,
2010-11,24.7098,
2010-12,25.4243,
2011-01,26.0505,
2011-02,26.3224,
2011-03,27.0321,
2011-04,28.2747,
2011-05,27.3703,
2011-06,27.5002,
2011-07,26.9835,
2011-08,27.4817,
2011-09,25.7829,
2011-10,26.8065,
2011-11,25.6286,
2011-12,24.8196,
2012-01,25.3667,
2012-02,25.9906,
2012-03,25.9269,
2012-04,25.7295,
2012-05,24.2510,
2012-06,24.7125,
2012-07,24.2126,
2012-08,24.9641,
2012-09,25.6920,
2012-10,25.9134,
2012-11,26.0060,
2012-12,26.5226,
2013-01,27.3447,
2013-02,26.5881,
2013-03,26.0218,
2013-04,26.6634,
2013-05,26.6389,
2013-06,26.8913,
2013-07,27.3543,
2013-08,27.2871,
2013-09,27.9328,
2013-10,28.2134,
2013-11,28.2149,
2013-12,28.6049,
2014-01,28.1002,
2014-02,28.7781,
2014-03,28.8115,
2014-04,29.0151,
2014-05,28.5840,
2014-06,28.8443,
2014-07,28.2663,
2014-08,28.0299,
2014-09,26.9108,
2014-10,26.8680,
2014-11,26.9321,
2014-12,26.3010,
2015-01,24.7147,
"","Source: Since March 2003: Banco Central de Honduras, Tegucigalpa 1999 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg.",
"",Methodology: * We do not have any data from Honduras on euro exchange rates; the comparable rates were calculated on the basis of exchange rates for the US dollar in Honduras in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
"",Comment on 2000-01: Calculated using the US dollar exchange rate on 21 January 2000.,
