"",BBK01.OEAN07U,BBK01.OEAN07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:21,
2002-01,0.028,
2002-04,0.029,
2002-07,0.030,
2002-10,0.030,
2003-01,0.052,
2003-04,0.010,
2003-07,0.009,
2003-10,0.012,
2004-01,0.006,
2004-04,0.007,
2004-07,0.007,
2004-10,0.010,
2005-01,0.007,
2005-04,0.013,
2005-07,0.013,
2005-10,0.011,
2006-01,0.009,
2006-04,0.009,
2006-07,0.007,
2006-10,0.008,
2007-01,0.005,
2007-04,0.004,
2007-07,0.006,
2007-10,0.006,
2008-01,0.008,
2008-04,0.002,
2008-07,0.009,
2008-10,0.007,
2009-01,0.004,
2009-04,0.009,
2009-07,0.014,
2009-10,0.012,
2010-01,0.014,
2010-04,0.016,
2010-07,0.018,
2010-10,0.018,
2011-01,0.020,
2011-04,0.023,
2011-07,0.026,
2011-10,0.027,
2012-01,0.028,
2012-04,0.034,
2012-07,0.035,
2012-10,0.039,
2013-01,0.040,
2013-04,0.043,
2013-07,0.044,
2013-10,0.046,
2014-01,0.047,
2014-04,0.049,
2014-07,0.051,
